,X.chrom,start,end,name,score,strand,circ_id,strand,circ_type,gene_id,gene_name,gene_type,logFC,logCPM,LR,PValue,DE,FDR,FC
chr7:6814764|6823360,chr7,6814763,6823360,circ_346,1068,-,chr7:6814764|6823360,-,exon,CCZ1B,NA,protein_coding,0.715893902224609,0.426559577973859,10.9762792380114,0.00092285529296369,0,0.541143637348992,1.64250060531132
chrX:17133824|17138961,chrX,17133823,17138961,circ_572,715,+,chrX:17133824|17138961,+,exon,REPS2,NA,protein_coding,0.800258744595227,-0.357629864462889,10.9577106331359,0.000932149122672816,0,0.541143637348992,1.74141341775157
chr12:98677425|98686873,chr12,98677424,98686873,circ_519,766,+,chr12:98677425|98686873,+,exon,APAF1,NA,protein_coding,0.770243798605234,-0.133400701820795,10.912309092011,0.000955273769803284,0,0.542512433963935,1.7055579785548
chr19:47362476|47362693,chr19,47362475,47362693,circ_645,650,+,chr19:47362476|47362693,+,exon,DHX34,NA,protein_coding,0.789419688743762,-0.342758312092376,10.7178950344426,0.00106104311680988,0,0.56062254836358,1.72837909764426
chr11:47358844|47360040,chr11,47358843,47360040,circ_542,739,-,chr11:47358844|47360040,-,exon,SPI1,NA,protein_coding,0.767389920955774,-0.245291783080838,10.4772039042434,0.00120856528860718,0,0.56062254836358,1.70218745149576
chr2:31917926|31920910,chr2,31917925,31920910,circ_1371,320,-,chr2:31917926|31920910,-,exon,MEMO1,NA,protein_coding,0.778381779612894,-0.507136031919415,9.87215385608236,0.00167798960986655,0,0.56062254836358,1.71520590723369
chr4:94573351|94586444,chr4,94573350,94586444,circ_553,731,+,chr4:94573351|94586444,+,exon,PDLIM5,NA,protein_coding,0.739401972102323,-0.269000362808269,9.6840879628054,0.0018587062589822,0,0.56062254836358,1.66948365878294
chr1:167951800|167975015,chr1,167951799,167975015,circ_587,701,+,chr1:167951800|167975015,+,exon,DCAF6,NA,protein_coding,0.710875163786,-0.102747580035124,9.45448189432793,0.0021063378142737,0,0.56062254836358,1.63679672524627
chr7:32632543|32639365,chr7,32632542,32639365,circ_69,3264,-,chr7:32632543|32639365,-,exon,DPY19L1P1,NA,transcribed_pseudogene,0.696559309846544,0.916692399872539,9.20669640546478,0.00241131442200634,0,0.56062254836358,1.62063511986578
chr16:31297514|31297954,chr16,31297513,31297954,circ_171,1780,+,chr16:31297514|31297954,+,exon,ITGAM,NA,protein_coding,0.628171225423544,0.914708077340635,9.19474125608255,0.00242711395661429,0,0.56062254836358,1.54560452758696
chr21:36247517|36248568,chr21,36247516,36248568,circ_26,6206,+,chr21:36247517|36248568,+,exon,DOP1B,NA,protein_coding,1.35610429300253,1.54573389558479,9.17617487057645,0.00245185922105773,0,0.56062254836358,2.55992987935643
chr1:113848540|113855049,chr1,113848539,113855049,circ_129,2099,-,chr1:113848540|113855049,-,exon,PTPN22,NA,protein_coding,0.649657189184144,0.551990354514849,9.06437164218353,0.00260638085693374,0,0.56062254836358,1.56879537693125
chr15:50038768|50074185,chr15,50038767,50074185,circ_373,1017,-,chr15:50038768|50074185,-,exon,ATP8B4,NA,protein_coding,0.684748634992228,0.000234563547558301,9.00675685639784,0.00268983298646989,0,0.56062254836358,1.60742189123427
chr16:87975048|87984259,chr16,87975047,87984259,circ_394,975,+,chr16:87975048|87984259,+,exon,BANP,NA,protein_coding,0.682328048630221,-0.00859035154553712,8.96907680296871,0.0027458730736863,0,0.56062254836358,1.60472718369071
chr8:132727798|132757294,chr8,132727797,132757294,circ_336,1081,-,chr8:132727798|132757294,-,exon,TMEM71,NA,protein_coding,0.677403560699501,0.0431064811462051,8.94875486301382,0.00277658775414857,0,0.56062254836358,1.59925895398915
chr6:53071057|53076543,chr6,53071056,53076543,circ_95,2611,+,chr6:53071057|53076543,+,exon,FBXO9,NA,protein_coding,0.59819910196998,1.38656546404629,8.90135726376606,0.00284958768651303,0,0.56062254836358,1.51382569705039
chr12:66203711|66217235,chr12,66203710,66217235,circ_253,1364,+,chr12:66203711|66217235,+,exon,IRAK3,NA,protein_coding,0.646501702440025,0.385076094094222,8.86445866688907,0.00290776466481356,0,0.56062254836358,1.56536783118037
chr15:90439332|90443478,chr15,90439331,90443478,circ_160,1852,+,chr15:90439332|90443478,+,exon,IQGAP1,NA,protein_coding,0.616952355593742,0.905660151204368,8.8456408640744,0.00293789721413409,0,0.56062254836358,1.53363201127473
chr12:57946995|57953689,chr12,57946994,57953689,circ_756,571,+,chr12:57946995|57953689,+,exon,ATP23,NA,protein_coding,0.726017330089021,-0.532809323662042,8.5077537204699,0.00353636335683135,0,0.56062254836358,1.65406660591536
chr1:13731000|13749487,chr1,13730999,13749487,circ_334,1084,+,chr1:13731000|13749487,+,exon,PRDM2,NA,protein_coding,0.65457671591359,0.0906562118412341,8.47672801669603,0.00359718518121014,0,0.56062254836358,1.57415403146442
chr12:123498544|123499536,chr12,123498543,123499536,circ_545,737,-,chr12:123498544|123499536,-,exon,RILPL1,NA,protein_coding,0.693057197005316,-0.314574595628743,8.45747850542514,0.00363545499734681,0,0.56062254836358,1.6167058321678
chr10:104008177|104018908,chr10,104008176,104018908,circ_343,1071,+,chr10:104008177|104018908,+,exon,SLK,NA,protein_coding,0.639020542272827,0.194425451452912,8.29610780777197,0.00397301368025474,0,0.56062254836358,1.55727155567249
chr15:63529014|63537156,chr15,63529013,63537156,circ_558,725,+,chr15:63529014|63537156,+,exon,USP3,NA,protein_coding,0.705046131139971,-0.541532376737271,8.05167896696646,0.00454615027637314,0,0.56062254836358,1.63019679060584
chr1:231795242|231818517,chr1,231795241,231818517,circ_339,1077,+,chr1:231795242|231818517,+,exon,DISC1,TSNAX-DISC1,NA,protein_coding,lncRNA,0.637841464279645,0.000993436558639923,7.90404174901406,0.004932446361057,0,0.56062254836358,1.55599935714412
chr6:149771162|149773169,chr6,149771161,149773169,circ_377,1006,+,chr6:149771162|149773169,+,exon,PCMT1,NA,protein_coding,0.622685791930564,0.0405971794984492,7.57519352075172,0.00591770261365036,0,0.56062254836358,1.53973896844889
chr1:235830226|235833667,chr1,235830225,235833667,circ_320,1132,-,chr1:235830226|235833667,-,exon,LYST,NA,protein_coding,0.595912571428394,0.305588292961403,7.45887394869743,0.0063124481417346,0,0.56062254836358,1.51142833167216
chr1:224365879|224371423,chr1,224365878,224371423,circ_535,746,+,chr1:224365879|224371423,+,exon,CNIH4,NA,protein_coding,0.647716596361771,-0.31134850849687,7.38268934177856,0.00658546217720401,0,0.56062254836358,1.56668658307795
chr2:175970764|175995646,chr2,175970763,175995646,circ_269,1312,-,chr2:175970764|175995646,-,exon,LNPK,NA,protein_coding,0.617592735876189,0.00801754519046768,7.372836256368,0.00662164144018061,0,0.56062254836358,1.53431290756456
chr11:47358844|47375729,chr11,47358843,47375729,circ_318,1135,-,chr11:47358844|47375729,-,exon,SPI1,NA,protein_coding,0.593335108881197,0.274266243511727,7.33501759444658,0.00676240175079222,0,0.56062254836358,1.50873048356783
chr17:48112031|48113401,chr17,48112030,48113401,circ_552,732,+,chr17:48112031|48113401,+,exon,SNX11,NA,protein_coding,0.635379342823786,-0.232920476740144,7.31181445884212,0.00685027234098103,0,0.56062254836358,1.55334613377681
chr2:101281859|101295181,chr2,101281858,101295181,circ_293,1234,-,chr2:101281859|101295181,-,exon,RNF149,NA,protein_coding,0.603279408782921,0.0832832119348746,7.22434205564702,0.00719215280959402,0,0.56062254836358,1.51916588032369
chr7:37857274|37877007,chr7,37857273,37877007,circ_606,685,+,chr7:37857274|37877007,+,exon,NME8,NA,protein_coding,0.631271228800091,-0.324925457789229,7.00991649532313,0.00810594607276554,0,0.56062254836358,1.54892922931959
chr6:138943513|138944622,chr6,138943512,138944622,circ_108,2362,-,chr6:138943513|138944622,-,exon,REPS1,NA,protein_coding,0.88819645026625,0.298270920576507,5.8397297030576,0.015668233449121,0,0.56062254836358,1.85086086869487
chr6:130175841|130184623,chr6,130175840,130184623,circ_787,552,-,chr6:130175841|130184623,-,exon,SAMD3,NA,protein_coding,-0.592268610002179,-0.64803535955466,5.83575455311674,0.0157036732793551,0,0.56062254836358,1.50761558074407
chrX:53403566|53403893,chrX,53403565,53403893,circ_128,2132,-,chrX:53403566|53403893,-,exon,SMC1A,NA,protein_coding,0.999359053058504,0.0218378004236798,5.15060096964896,0.0232383290699605,0,0.56062254836358,1.99911165621634
chr1:20757166|20773610,chr1,20757165,20773610,circ_177,1768,-,chr1:20757166|20773610,-,exon,HP1BP3,NA,protein_coding,0.588743909801072,0.515836493773801,4.82716672210657,0.0280146325343634,0,0.56062254836358,1.50393676658601
chr2:31917926|31932135,chr2,31917925,31932135,circ_1564,282,-,chr2:31917926|31932135,-,exon,MEMO1,NA,protein_coding,0.628261490433519,1.16939665412884,4.65290188199199,0.0310010974064502,0,0.56062254836358,1.54570123435361
chr1:235800320|235801097,chr1,235800319,235801097,circ_249,1395,-,chr1:235800320|235801097,-,exon,LYST,NA,protein_coding,0.608695751694429,0.440624728512954,4.53781222237569,0.0331539393611801,0,0.56062254836358,1.52488003913929
