circRNA_ID	chr	circRNA_start	circRNA_end	X.junction_reads	SM_MS_SMS	X.non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	gene_name	exon_count	exon_sizes
chr2:9535834|9536828	chr2	9535834	9536828	3	0_2_1	111	0.051	n/a	/n/a	-	SRR12794723.44464786,SRR12794723.9701582,SRR12794723.9701809,	ADAM17	2	89,131
chr2:9535834|9543285	chr2	9535834	9543285	5	2_2_1	116	0.079	n/a	/n/a	-	SRR12794723.7959333,SRR12794723.30095146,SRR12794723.27889139,SRR12794723.27889865,SRR12794723.27890594,	ADAM17	3	89,131,133
chr2:10600853|10607311	chr2	10600853	10607311	8	5_6_1	41	0.281	n/a	/n/a	-	SRR12794723.4404180,SRR12794723.4405290,SRR12794723.21764088,SRR12794723.28544551,SRR12794723.42076943,SRR12794723.43494443,SRR12794723.48704806,SRR12794723.48705016,	NOL10	4	90,99,80,127
chr2:11207726|11208447	chr2	11207726	11208447	2	2_2_0	85	0.045	n/a	/n/a	-	SRR12794723.1418867,SRR12794723.10347197,	ROCK2	2	185,161
chr2:11235702|11235962	chr2	11235702	11235962	2	2_2_0	100	0.038	n/a	/n/a	-	SRR12794723.14494494,SRR12794723.34549734,	ROCK2	1	261
chr2:11286539|11287736	chr2	11286539	11287736	11	6_1_7	64	0.256	n/a	/n/a	-	SRR12794723.9203775,SRR12794723.19226391,SRR12794723.19534141,SRR12794723.26243815,SRR12794723.37969809,SRR12794723.38255991,SRR12794723.7355363,SRR12794723.20312596,SRR12794723.21832189,SRR12794723.21832398,SRR12794723.38384117,	ROCK2	2	101,82
chr2:11765533|11767858	chr2	11765533	11767858	3	2_3_1	45	0.118	n/a	/n/a	+	SRR12794723.11606466,SRR12794723.38627049,SRR12794723.40950010,	LPIN1	2	201,96
chr2:15394227|15427794	chr2	15394227	15427794	2	2_2_0	89	0.043	n/a	/n/a	-	SRR12794723.30914472,SRR12794723.42544544,	NBAS	7	123,63,134,174,186,154,84
chr2:15461201|15461791	chr2	15461201	15461791	2	2_1_1	79	0.048	n/a	/n/a	-	SRR12794723.9164476,SRR12794723.16688485,	NBAS	2	137,105
chr2:15461201|15478289	chr2	15461201	15478289	2	2_1_1	100	0.038	n/a	/n/a	-	SRR12794723.1619101,SRR12794723.29715293,	NBAS	9	137,105,79,141,152,126,258,194,64
chr2:15488894|15511350	chr2	15488894	15511350	5	2_2_2	94	0.096	n/a	/n/a	-	SRR12794723.32855901,SRR12794723.39222464,SRR12794723.39799808,SRR12794723.34489384,SRR12794723.39500394,	NBAS	3	129,69,139
chr2:15551493|15558634	chr2	15551493	15558634	17	3_6_12	103	0.248	n/a	/n/a	-	SRR12794723.1306621,SRR12794723.2927050,SRR12794723.3240751,SRR12794723.23779600,SRR12794723.23900988,SRR12794723.23901524,SRR12794723.26209793,SRR12794723.30959064,SRR12794723.33472852,SRR12794723.34032270,SRR12794723.34140310,SRR12794723.47674017,SRR12794723.17573820,SRR12794723.17584495,SRR12794723.23409316,SRR12794723.23409435,SRR12794723.34954524,	NBAS	5	44,48,78,37,55
chr2:15553426|15558634	chr2	15553426	15558634	3	0_2_3	85	0.066	n/a	/n/a	-	SRR12794723.34909584,SRR12794723.37984182,SRR12794723.11767202,	NBAS	4	48,78,37,55
chr2:15603192|15607313	chr2	15603192	15607313	2	1_2_1	61	0.062	n/a	/n/a	+	SRR12794723.6441143,SRR12794723.7292264,	DDX1	6	84,77,73,77,115,139
chr2:20253822|20256170	chr2	20253822	20256170	7	5_4_0	355	0.038	n/a	/n/a	-	SRR12794723.5041173,SRR12794723.5041230,SRR12794723.16957440,SRR12794723.18173157,SRR12794723.18173190,SRR12794723.35447219,SRR12794723.35446693,	PUM2	4	193,122,126,138
chr2:20254863|20256170	chr2	20254863	20256170	5	4_4_0	354	0.027	n/a	/n/a	-	SRR12794723.26101187,SRR12794723.41590273,SRR12794723.43358159,SRR12794723.14936938,SRR12794723.43429856,	PUM2	3	122,126,138
chr2:20326261|20327378	chr2	20326261	20327378	2	2_1_0	146	0.027	n/a	/n/a	-	SRR12794723.19316852,SRR12794723.2869047,	PUM2	2	125,69
chr2:23819747|23823569	chr2	23819747	23823569	6	4_4_0	133	0.083	n/a	/n/a	-	SRR12794723.8127392,SRR12794723.10863656,SRR12794723.10894683,SRR12794723.17703316,SRR12794723.34053762,SRR12794723.47163688,	ATAD2B	2	136,312
chr2:23823258|23823569	chr2	23823258	23823569	5	3_4_0	105	0.087	n/a	/n/a	-	SRR12794723.14645254,SRR12794723.25183661,SRR12794723.31329251,SRR12794723.4738074,SRR12794723.15689924,	ATAD2B	1	312
chr2:23880639|23888399	chr2	23880639	23888399	2	2_1_1	187	0.021	n/a	/n/a	-	SRR12794723.29416063,SRR12794723.47679431,	ATAD2B	5	117,109,103,154,50
chr2:23880639|23885829	chr2	23880639	23885829	6	1_2_3	181	0.062	n/a	/n/a	-	SRR12794723.16054665,SRR12794723.23362542,SRR12794723.2751582,SRR12794723.2751651,SRR12794723.43282085,SRR12794723.43282086,	ATAD2B	3	117,109,103
chr2:23958301|23984831	chr2	23958301	23984831	7	3_6_2	21	0.4	n/a	/n/a	+	SRR12794723.4876235,SRR12794723.12080346,SRR12794723.20857929,SRR12794723.22804881,SRR12794723.22804913,SRR12794723.46972520,SRR12794723.17215903,	UBXN2A	5	55,139,107,138,159
chr2:23958301|23977075	chr2	23958301	23977075	7	1_1_4	27	0.341	n/a	/n/a	+	SRR12794723.1237298,SRR12794723.17801462,SRR12794723.35931842,SRR12794723.35932497,SRR12794723.35933748,SRR12794723.37970702,SRR12794723.46298449,	UBXN2A	3	55,139,107
chr2:23982896|23984831	chr2	23982896	23984831	6	4_3_0	28	0.3	n/a	/n/a	+	SRR12794723.2324295,SRR12794723.2326282,SRR12794723.10406489,SRR12794723.21363014,SRR12794723.41598370,SRR12794723.46763946,	UBXN2A	2	138,159
chr2:24135119|24139450	chr2	24135119	24139450	10	4_5_7	36	0.357	n/a	/n/a	+	SRR12794723.625180,SRR12794723.1284534,SRR12794723.1576042,SRR12794723.28901968,SRR12794723.28902359,SRR12794723.31870106,SRR12794723.32911210,SRR12794723.35667000,SRR12794723.41621342,SRR12794723.42577903,	FAM228B	2	69,81
chr2:24135119|24147086	chr2	24135119	24147086	31	14_21_7	9	0.873	n/a	/n/a	+	SRR12794723.2781063,SRR12794723.4722258,SRR12794723.4882541,SRR12794723.7668740,SRR12794723.8375092,SRR12794723.9328673,SRR12794723.13101728,SRR12794723.13789315,SRR12794723.14542938,SRR12794723.15211714,SRR12794723.15977707,SRR12794723.20052213,SRR12794723.20200075,SRR12794723.20576334,SRR12794723.22353216,SRR12794723.22772744,SRR12794723.22772858,SRR12794723.23853107,SRR12794723.23967434,SRR12794723.23967475,SRR12794723.24324490,SRR12794723.29183271,SRR12794723.29946978,SRR12794723.30511806,SRR12794723.31060744,SRR12794723.35895873,SRR12794723.36062626,SRR12794723.41722132,SRR12794723.49290707,SRR12794723.37385403,SRR12794723.37386118,	FAM228B	4	69,81,88,157
chr2:24137909|24147086	chr2	24137909	24147086	2	2_2_0	24	0.143	n/a	/n/a	+	SRR12794723.9925077,SRR12794723.34122205,	FAM228B	4	192,81,88,157
chr2:24270671|24271941	chr2	24270671	24271941	2	1_1_2	321	0.012	n/a	/n/a	-	SRR12794723.12423229,SRR12794723.48345032,	ITSN2	2	98,176
chr2:24270671|24275849	chr2	24270671	24275849	4	1_2_2	332	0.024	n/a	/n/a	-	SRR12794723.31671955,SRR12794723.47224808,SRR12794723.47455320,SRR12794723.25466372,	ITSN2	3	98,176,137
chr2:24293688|24295804	chr2	24293688	24295804	2	2_2_0	336	0.012	n/a	/n/a	-	SRR12794723.13823777,SRR12794723.37887583,	ITSN2	2	88,141
chr2:24298665|24300171	chr2	24298665	24300171	2	1_2_0	418	0.009	n/a	/n/a	-	SRR12794723.18905054,SRR12794723.19240731,	ITSN2	2	150,263
chr2:24564295|24658766	chr2	24564295	24658766	2	2_2_0	281	0.014	n/a	/n/a	+	SRR12794723.513024,SRR12794723.26391002,	NCOA1	4	136,85,157,106
chr2:24564295|24584560	chr2	24564295	24584560	8	7_4_3	251	0.06	n/a	/n/a	+	SRR12794723.6549013,SRR12794723.9356815,SRR12794723.17445014,SRR12794723.22943120,SRR12794723.27256677,SRR12794723.33131921,SRR12794723.33857496,SRR12794723.45916078,	NCOA1	2	136,85
chr2:24643966|24683128	chr2	24643966	24683128	5	4_4_0	387	0.025	n/a	/n/a	+	SRR12794723.802207,SRR12794723.11638392,SRR12794723.25172112,SRR12794723.25172466,SRR12794723.29553610,	NCOA1	5	157,106,167,98,178
chr2:24643966|24673463	chr2	24643966	24673463	5	5_4_1	420	0.023	n/a	/n/a	+	SRR12794723.18408565,SRR12794723.25649592,SRR12794723.30274692,SRR12794723.43194185,SRR12794723.49005719,	NCOA1	4	157,106,167,98
chr2:24739432|24742186	chr2	24739432	24742186	7	4_4_0	281	0.047	n/a	/n/a	+	SRR12794723.14431987,SRR12794723.29280748,SRR12794723.31755421,SRR12794723.41972508,SRR12794723.42943456,SRR12794723.44157142,SRR12794723.45569618,	NCOA1	2	102,403
chr2:25767583|25771540	chr2	25767583	25771540	4	4_4_0	146	0.052	n/a	/n/a	-	SRR12794723.10458025,SRR12794723.36213038,SRR12794723.38769627,SRR12794723.43883912,	ASXL2	3	144,127,101
chr2:25768742|25771540	chr2	25768742	25771540	2	2_1_0	136	0.029	n/a	/n/a	-	SRR12794723.22232050,SRR12794723.5833079,	ASXL2	2	127,101
chr2:25799385|25806337	chr2	25799385	25806337	5	4_2_1	144	0.065	n/a	/n/a	-	SRR12794723.16914741,SRR12794723.28765706,SRR12794723.38384113,SRR12794723.36432246,SRR12794723.36432542,	ASXL2	2	151,109
chr2:26098662|26109906	chr2	26098662	26109906	3	1_3_1	275	0.021	n/a	/n/a	+	SRR12794723.38970579,SRR12794723.45827848,SRR12794723.26208234,	RAB10	2	61,139
chr2:26263380|26277160	chr2	26263380	26277160	9	7_4_1	72	0.2	n/a	/n/a	+	SRR12794723.4147605,SRR12794723.17762660,SRR12794723.32286308,SRR12794723.38406464,SRR12794723.38630253,SRR12794723.3707416,SRR12794723.15326481,SRR12794723.15328053,SRR12794723.25704766,	HADHB	3	100,100,88
chr2:26269953|26277160	chr2	26269953	26277160	2	1_1_1	39	0.093	n/a	/n/a	+	SRR12794723.18559336,SRR12794723.17318997,	HADHB	3	45,100,88
chr2:26282845|26283051	chr2	26282845	26283051	2	1_2_1	145	0.027	n/a	/n/a	+	SRR12794723.20309773,SRR12794723.26917137,	HADHB	2	80,48
chr2:26364302|26373629	chr2	26364302	26373629	7	3_5_2	34	0.292	n/a	/n/a	+	SRR12794723.10265739,SRR12794723.25263495,SRR12794723.29316243,SRR12794723.29316373,SRR12794723.40525430,SRR12794723.42029683,SRR12794723.48867690,	SELENOI	4	69,109,75,263
chr2:26364302|26375148	chr2	26364302	26375148	2	0_2_2	31	0.114	n/a	/n/a	+	SRR12794723.6252519,SRR12794723.31638179,	SELENOI	5	69,109,75,263,109
chr2:26373367|26383347	chr2	26373367	26383347	2	2_0_2	45	0.082	n/a	/n/a	+	SRR12794723.26093656,SRR12794723.44747318,	SELENOI	3	263,109,49
chr2:27599583|27601442	chr2	27599583	27601442	2	2_0_2	95	0.04	n/a	/n/a	+	SRR12794723.15792443,SRR12794723.34414593,	ZNF512	3	96,125,87
chr2:28783907|28788809	chr2	28783907	28788809	6	3_3_1	627	0.019	n/a	/n/a	+	SRR12794723.437202,SRR12794723.17268290,SRR12794723.17268322,SRR12794723.34279288,SRR12794723.41403856,SRR12794723.41404490,	PPP1CB	2	72,152
chr2:29131258|29135666	chr2	29131258	29135666	3	2_1_0	116	0.049	n/a	/n/a	+	SRR12794723.34831758,SRR12794723.48478501,SRR12794723.22788652,	CLIP4	4	140,94,162,119
chr2:29133655|29145367	chr2	29133655	29145367	5	4_4_0	152	0.062	n/a	/n/a	+	SRR12794723.20500888,SRR12794723.32548716,SRR12794723.32549067,SRR12794723.37082806,SRR12794723.42456519,	CLIP4	4	162,119,237,136
chr2:30525587|30533314	chr2	30525587	30533314	8	7_7_0	45	0.262	n/a	/n/a	+	SRR12794723.293217,SRR12794723.11785437,SRR12794723.18045345,SRR12794723.27408066,SRR12794723.27410147,SRR12794723.33388795,SRR12794723.45061058,SRR12794723.46353465,	LCLAT1	2	169,199
chr2:30552493|30568176	chr2	30552493	30568176	2	1_2_1	15	0.211	n/a	/n/a	+	SRR12794723.30936654,SRR12794723.48259127,	LCLAT1	3	157,147,117
chr2:31917926|31943383	chr2	31917926	31943383	4	2_1_0	26	0.235	n/a	/n/a	-	SRR12794723.42403894,SRR12794723.26180173,SRR12794723.26180413,SRR12794723.47896525,	MEMO1	4	112,113,69,82
chr2:31917926|31920910	chr2	31917926	31920910	4	3_3_0	47	0.145	n/a	/n/a	-	SRR12794723.1495526,SRR12794723.1495904,SRR12794723.3797679,SRR12794723.30347191,	MEMO1	2	112,113
chr2:31917926|31932135	chr2	31917926	31932135	4	2_3_0	27	0.229	n/a	/n/a	-	SRR12794723.16842667,SRR12794723.23167669,SRR12794723.26462598,SRR12794723.33935568,	MEMO1	3	112,113,69
chr2:32087492|32089605	chr2	32087492	32089605	6	1_2_2	118	0.092	n/a	/n/a	+	SRR12794723.19563443,SRR12794723.19563491,SRR12794723.19563510,SRR12794723.37816914,SRR12794723.30550012,SRR12794723.30550332,	SPAST	2	87,84
chr2:32098796|32116212	chr2	32098796	32116212	8	7_3_4	135	0.106	n/a	/n/a	+	SRR12794723.5030576,SRR12794723.7297221,SRR12794723.7297266,SRR12794723.21498663,SRR12794723.30222862,SRR12794723.32418542,SRR12794723.39966497,SRR12794723.40424209,	SPAST	4	96,188,134,94
chr2:32114638|32116212	chr2	32114638	32116212	12	7_5_2	142	0.145	n/a	/n/a	+	SRR12794723.7522002,SRR12794723.9331682,SRR12794723.9333107,SRR12794723.12646797,SRR12794723.13403283,SRR12794723.13403519,SRR12794723.25610999,SRR12794723.25829017,SRR12794723.39716715,SRR12794723.43932574,SRR12794723.43932615,SRR12794723.43932624,	SPAST	3	188,134,94
chr2:32114638|32128479	chr2	32114638	32128479	2	2_1_0	126	0.031	n/a	/n/a	+	SRR12794723.3799433,SRR12794723.37924561,	SPAST	5	188,134,94,75,72
chr2:32115702|32116212	chr2	32115702	32116212	2	2_1_1	164	0.024	n/a	/n/a	+	SRR12794723.25370390,SRR12794723.40528059,	SPAST	2	134,94
chr2:32174063|32184338	chr2	32174063	32184338	2	1_2_1	57	0.066	n/a	/n/a	+	SRR12794723.19461045,SRR12794723.46556780,	SLC30A6	3	85,43,66
chr2:32235401|32241125	chr2	32235401	32241125	3	3_1_2	91	0.062	n/a	/n/a	-	SRR12794723.1881392,SRR12794723.18108544,SRR12794723.27933248,	NLRC4	4	168,93,171,93
chr2:32377588|32406557	chr2	32377588	32406557	2	2_1_1	326	0.012	n/a	/n/a	+	SRR12794723.6612165,SRR12794723.27093984,	BIRC6	8	182,138,194,112,83,223,161,59
chr2:32377588|32380290	chr2	32377588	32380290	3	2_2_0	268	0.022	n/a	/n/a	+	SRR12794723.22954198,SRR12794723.35172513,SRR12794723.45847504,	BIRC6	2	182,138
chr2:32439508|32441462	chr2	32439508	32441462	4	3_3_0	375	0.021	n/a	/n/a	+	SRR12794723.3990369,SRR12794723.20189243,SRR12794723.39576004,SRR12794723.46725272,	BIRC6	2	179,134
chr2:32439508|32443588	chr2	32439508	32443588	3	2_1_1	306	0.019	n/a	/n/a	+	SRR12794723.17456840,SRR12794723.30529191,SRR12794723.36134682,	BIRC6	5	179,134,162,132,98
chr2:32439508|32453942	chr2	32439508	32453942	3	1_2_0	296	0.02	n/a	/n/a	+	SRR12794723.44791745,SRR12794723.28442999,SRR12794723.39597360,	BIRC6	8	179,134,162,132,98,148,134,135
chr2:32473112|32477583	chr2	32473112	32477583	3	2_2_0	256	0.023	n/a	/n/a	+	SRR12794723.20003014,SRR12794723.24234677,SRR12794723.39513655,	BIRC6	3	128,132,216
chr2:32473112|32487801	chr2	32473112	32487801	2	2_2_0	209	0.019	n/a	/n/a	+	SRR12794723.16895354,SRR12794723.45472593,	BIRC6	9	128,132,216,184,156,134,154,117,155
chr2:32478635|32479617	chr2	32478635	32479617	3	3_3_0	244	0.024	n/a	/n/a	+	SRR12794723.34880438,SRR12794723.40778192,SRR12794723.45992372,	BIRC6	2	184,156
chr2:32607455|32611582	chr2	32607455	32611582	8	7_7_0	214	0.07	n/a	/n/a	+	SRR12794723.534457,SRR12794723.534628,SRR12794723.3270178,SRR12794723.9234642,SRR12794723.17427566,SRR12794723.17427661,SRR12794723.19518164,SRR12794723.41549555,	BIRC6	2	189,135
chr2:32633876|32640410	chr2	32633876	32640410	5	3_3_0	47	0.175	n/a	/n/a	+	SRR12794723.25638252,SRR12794723.31872202,SRR12794723.41339943,SRR12794723.47442114,SRR12794723.49160488,	TTC27	2	130,141
chr2:33134793|33222151	chr2	33134793	33222151	3	2_1_0	41	0.128	n/a	/n/a	+	SRR12794723.6453311,SRR12794723.18899879,SRR12794723.41347530,	LTBP1	5	168,225,275,103,72
chr2:33186856|33222151	chr2	33186856	33222151	7	6_2_3	36	0.28	n/a	/n/a	+	SRR12794723.29003584,SRR12794723.38564513,SRR12794723.41842087,SRR12794723.42392474,SRR12794723.42395191,SRR12794723.47373338,SRR12794723.21245146,	LTBP1	4	225,275,103,72
chr2:36877891|36894033	chr2	36877891	36894033	2	2_2_0	146	0.027	n/a	/n/a	-	SRR12794723.5286864,SRR12794723.17841344,	STRN	4	137,144,111,136
chr2:36883932|36894033	chr2	36883932	36894033	2	2_2_0	148	0.026	n/a	/n/a	-	SRR12794723.10571082,SRR12794723.28999915,	STRN	3	144,111,136
chr2:37019809|37020836	chr2	37019809	37020836	2	1_2_1	90	0.043	n/a	/n/a	-	SRR12794723.45959476,SRR12794723.48808973,	HEATR5B	2	69,182
chr2:37199704|37201726	chr2	37199704	37201726	6	3_2_3	67	0.152	n/a	/n/a	+	SRR12794723.1428814,SRR12794723.25817276,SRR12794723.32994696,SRR12794723.32994728,SRR12794723.18368507,SRR12794723.33125684,	CEBPZOS	3	116,45,85
chr2:37316237|37317179	chr2	37316237	37317179	20	10_15_0	53	0.43	n/a	/n/a	-	SRR12794723.4869356,SRR12794723.4869419,SRR12794723.5730266,SRR12794723.6190321,SRR12794723.8650785,SRR12794723.11098259,SRR12794723.15780738,SRR12794723.21198753,SRR12794723.26523484,SRR12794723.32593635,SRR12794723.34312035,SRR12794723.37760603,SRR12794723.38081976,SRR12794723.41902831,SRR12794723.5605865,SRR12794723.9141324,SRR12794723.14485439,SRR12794723.14486680,SRR12794723.16722020,SRR12794723.47808703,	PRKD3	1	943
chr2:38309379|38319019	chr2	38309379	38319019	4	2_2_0	81	0.09	n/a	/n/a	-	SRR12794723.3135487,SRR12794723.3135497,SRR12794723.3135847,SRR12794723.45554913,	ATL2	7	128,139,93,57,51,105,135
chr2:38581913|38591648	chr2	38581913	38591648	2	1_0_2	133	0.029	n/a	/n/a	-	SRR12794723.38962147,SRR12794723.27791214,	HNRNPLL	5	73,97,86,238,119
chr2:38585644|38591648	chr2	38585644	38591648	6	4_3_0	126	0.087	n/a	/n/a	-	SRR12794723.7164652,SRR12794723.7164947,SRR12794723.34670163,SRR12794723.46347224,SRR12794723.46468304,SRR12794723.3766468,	HNRNPLL	2	238,119
