circRNA_ID	chr	circRNA_start	circRNA_end	X.junction_reads	SM_MS_SMS	X.non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	gene_name	exon_count	exon_sizes
chr21:29321221|29321514	chr21	29321221	29321514	2	2_2_0	644	0.006	n/a	/n/a	+	SRR12794698.19704144,SRR12794698.22105902,	BACH1	1	294
chr21:29321221|29329693	chr21	29321221	29329693	4	3_3_0	698	0.011	n/a	/n/a	+	SRR12794698.874485,SRR12794698.1710231,SRR12794698.1710254,SRR12794698.22091729,	BACH1	3	294,1335,207
chr21:29326059|29329693	chr21	29326059	29329693	4	4_3_0	764	0.01	n/a	/n/a	+	SRR12794698.18045441,SRR12794698.23455338,SRR12794698.26232553,SRR12794698.32753809,	BACH1	2	1335,207
chr21:31700995|31705467	chr21	31700995	31705467	4	3_0_3	38	0.174	n/a	/n/a	-	SRR12794698.3068047,SRR12794698.25117902,SRR12794698.25120038,SRR12794698.31389910,	SCAF4	5	177,143,136,162,45
chr21:32453312|32495170	chr21	32453312	32495170	2	2_2_0	17	0.19	n/a	/n/a	+	SRR12794698.29359184,SRR12794698.36652138,	EVA1C	4	197,124,153,144
chr21:32694228|32695282	chr21	32694228	32695282	4	2_4_2	134	0.056	n/a	/n/a	-	SRR12794698.5456411,SRR12794698.14168209,SRR12794698.23694602,SRR12794698.33295819,	SYNJ1	2	84,226
chr21:33241840|33245074	chr21	33241840	33245074	4	4_3_1	170	0.045	n/a	/n/a	+	SRR12794698.2818233,SRR12794698.7306027,SRR12794698.22191796,SRR12794698.47341660,	IFNAR2	3	138,42,124
chr21:33340999|33343676	chr21	33340999	33343676	2	2_2_0	303	0.013	n/a	/n/a	+	SRR12794698.17776262,SRR12794698.26252174,	IFNAR1	3	176,155,142
chr21:33340999|33349543	chr21	33340999	33349543	3	2_3_0	322	0.018	n/a	/n/a	+	SRR12794698.13837156,SRR12794698.48839131,SRR12794698.11805099,	IFNAR1	6	176,155,142,115,200,155
chr21:33340999|33345360	chr21	33340999	33345360	2	2_2_0	295	0.013	n/a	/n/a	+	SRR12794698.4397371,SRR12794698.19696580,	IFNAR1	4	176,155,142,115
chr21:33345246|33349543	chr21	33345246	33349543	3	1_1_1	296	0.02	n/a	/n/a	+	SRR12794698.28224302,SRR12794698.33908789,SRR12794698.33909073,	IFNAR1	3	115,200,155
chr21:33414888|33432871	chr21	33414888	33432871	6	4_4_0	631	0.019	n/a	/n/a	+	SRR12794698.11548314,SRR12794698.16694128,SRR12794698.27347446,SRR12794698.27347969,SRR12794698.34578773,SRR12794698.45639021,	IFNGR2	5	133,206,149,160,158
chr21:33414888|33421685	chr21	33414888	33421685	3	2_3_0	601	0.01	n/a	/n/a	+	SRR12794698.21909642,SRR12794698.36871522,SRR12794698.17638473,	IFNGR2	2	133,206
chr21:33421480|33432871	chr21	33421480	33432871	7	6_5_0	688	0.02	n/a	/n/a	+	SRR12794698.19568204,SRR12794698.19568666,SRR12794698.24578851,SRR12794698.26791321,SRR12794698.38806549,SRR12794698.48362938,SRR12794698.18265517,	IFNGR2	4	206,149,160,158
chr21:33426884|33432871	chr21	33426884	33432871	3	1_2_0	728	0.008	n/a	/n/a	+	SRR12794698.49060783,SRR12794698.23997602,SRR12794698.23997732,	IFNGR2	3	149,160,158
chr21:33432177|33432871	chr21	33432177	33432871	65	37_45_0	772	0.144	n/a	/n/a	+	SRR12794698.2537868,SRR12794698.2573475,SRR12794698.4172384,SRR12794698.4236359,SRR12794698.6145422,SRR12794698.6230939,SRR12794698.6773154,SRR12794698.7888480,SRR12794698.10050904,SRR12794698.10454280,SRR12794698.12044281,SRR12794698.12045013,SRR12794698.15894335,SRR12794698.17192466,SRR12794698.17285467,SRR12794698.18601250,SRR12794698.18601329,SRR12794698.19521391,SRR12794698.20333809,SRR12794698.20427362,SRR12794698.20430034,SRR12794698.20631571,SRR12794698.22016928,SRR12794698.23813025,SRR12794698.23946447,SRR12794698.24410231,SRR12794698.25641555,SRR12794698.26240471,SRR12794698.26314013,SRR12794698.27270501,SRR12794698.29492631,SRR12794698.29535532,SRR12794698.29953142,SRR12794698.35073583,SRR12794698.35118373,SRR12794698.35322983,SRR12794698.37739248,SRR12794698.38609754,SRR12794698.39402543,SRR12794698.39402638,SRR12794698.39812050,SRR12794698.40628807,SRR12794698.41417182,SRR12794698.42503046,SRR12794698.46509435,SRR12794698.47300145,SRR12794698.47329181,SRR12794698.48496952,SRR12794698.526235,SRR12794698.2212867,SRR12794698.5213740,SRR12794698.6341848,SRR12794698.9193262,SRR12794698.11507912,SRR12794698.13201262,SRR12794698.13201281,SRR12794698.13202282,SRR12794698.13202565,SRR12794698.13254479,SRR12794698.22486811,SRR12794698.24125156,SRR12794698.28319994,SRR12794698.28320285,SRR12794698.40870896,SRR12794698.45809138,	IFNGR2	2	160,158
chr21:33455727|33467122	chr21	33455727	33467122	2	1_1_1	188	0.021	n/a	/n/a	-	SRR12794698.9506364,SRR12794698.24296088,	TMEM50B	4	58,93,68,113
chr21:34834410|34859578	chr21	34834410	34859578	9	7_5_2	94	0.161	n/a	/n/a	-	SRR12794698.1933388,SRR12794698.8182161,SRR12794698.11541668,SRR12794698.34025878,SRR12794698.35770703,SRR12794698.35770774,SRR12794698.38141455,SRR12794698.41304506,SRR12794698.41306075,	RUNX1	2	192,105
chr21:36247517|36251284	chr21	36247517	36251284	11	5_7_3	63	0.259	n/a	/n/a	+	SRR12794698.1446873,SRR12794698.3114049,SRR12794698.9166245,SRR12794698.22115708,SRR12794698.23417250,SRR12794698.28359994,SRR12794698.47183292,SRR12794698.49067833,SRR12794698.1643559,SRR12794698.13561468,SRR12794698.18396202,	DOP1B	3	112,189,123
chr21:36247517|36253909	chr21	36247517	36253909	3	2_2_0	47	0.113	n/a	/n/a	+	SRR12794698.39199668,SRR12794698.39199871,SRR12794698.39311422,	DOP1B	4	112,189,123,138
chr21:36247517|36248568	chr21	36247517	36248568	109	43_57_15	69	0.76	n/a	/n/a	+	SRR12794698.657878,SRR12794698.709991,SRR12794698.863737,SRR12794698.998977,SRR12794698.1802356,SRR12794698.1862420,SRR12794698.2887609,SRR12794698.3059278,SRR12794698.3059446,SRR12794698.4103664,SRR12794698.5459481,SRR12794698.5532697,SRR12794698.7749348,SRR12794698.7749462,SRR12794698.8163064,SRR12794698.9810927,SRR12794698.10345281,SRR12794698.12305563,SRR12794698.12306078,SRR12794698.12891946,SRR12794698.12892026,SRR12794698.13463142,SRR12794698.13463160,SRR12794698.13671782,SRR12794698.14710954,SRR12794698.14930026,SRR12794698.14946629,SRR12794698.15136222,SRR12794698.16208886,SRR12794698.18222264,SRR12794698.19915345,SRR12794698.21200939,SRR12794698.21228862,SRR12794698.22012521,SRR12794698.22119167,SRR12794698.22381106,SRR12794698.23090220,SRR12794698.23624658,SRR12794698.23640856,SRR12794698.23827178,SRR12794698.26189704,SRR12794698.28301007,SRR12794698.28471742,SRR12794698.28654877,SRR12794698.28954150,SRR12794698.29221614,SRR12794698.29762708,SRR12794698.29809499,SRR12794698.30530681,SRR12794698.31035560,SRR12794698.31376850,SRR12794698.31377024,SRR12794698.31629029,SRR12794698.32505665,SRR12794698.33010648,SRR12794698.34577893,SRR12794698.34838725,SRR12794698.35166018,SRR12794698.35166061,SRR12794698.35788542,SRR12794698.36509429,SRR12794698.37011903,SRR12794698.37308887,SRR12794698.37308995,SRR12794698.37474420,SRR12794698.37642654,SRR12794698.37761485,SRR12794698.37918587,SRR12794698.38327426,SRR12794698.38451759,SRR12794698.39662821,SRR12794698.39708908,SRR12794698.39896279,SRR12794698.40309770,SRR12794698.41159048,SRR12794698.41723156,SRR12794698.41893169,SRR12794698.42794425,SRR12794698.42900382,SRR12794698.43246953,SRR12794698.44849319,SRR12794698.45086805,SRR12794698.46070424,SRR12794698.47632501,SRR12794698.48215905,SRR12794698.48746470,SRR12794698.2383975,SRR12794698.6758592,SRR12794698.9725881,SRR12794698.11158246,SRR12794698.15226291,SRR12794698.15226314,SRR12794698.15226341,SRR12794698.15226739,SRR12794698.15226774,SRR12794698.17803735,SRR12794698.17803914,SRR12794698.20251718,SRR12794698.22922225,SRR12794698.25259683,SRR12794698.26414084,SRR12794698.33819357,SRR12794698.35287141,SRR12794698.37599146,SRR12794698.39074880,SRR12794698.39983540,SRR12794698.40585026,SRR12794698.47473683,SRR12794698.47473809,	DOP1B	2	112,189
chr21:36288014|36289206	chr21	36288014	36289206	5	1_2_0	64	0.135	n/a	/n/a	+	SRR12794698.31599587,SRR12794698.4146012,SRR12794698.4146699,SRR12794698.4147007,SRR12794698.11309164,	DOP1B	3	137,56,162
chr21:36341399|36345031	chr21	36341399	36345031	2	2_2_0	632	0.006	n/a	/n/a	+	SRR12794698.19130544,SRR12794698.19429163,	MORC3	3	148,129,120
chr21:36362183|36364259	chr21	36362183	36364259	10	2_7_4	215	0.085	n/a	/n/a	+	SRR12794698.679815,SRR12794698.679930,SRR12794698.5412979,SRR12794698.11770808,SRR12794698.13224643,SRR12794698.28141809,SRR12794698.29621957,SRR12794698.38556906,SRR12794698.43113185,SRR12794698.28205114,	MORC3	2	46,167
chr21:36362183|36369876	chr21	36362183	36369876	3	1_2_1	244	0.024	n/a	/n/a	+	SRR12794698.31970391,SRR12794698.45537004,SRR12794698.45537774,	MORC3	3	46,167,889
chr21:37087247|37108446	chr21	37087247	37108446	3	3_1_0	64	0.086	n/a	/n/a	+	SRR12794698.25399369,SRR12794698.25610776,SRR12794698.43424415,	TTC3	10	155,43,151,88,54,121,86,95,63,55
chr21:37108392|37140673	chr21	37108392	37140673	2	2_1_0	25	0.138	n/a	/n/a	+	SRR12794698.7851854,SRR12794698.42664776,	TTC3	10	55,163,46,124,64,61,85,135,81,113
chr21:37420299|37480826	chr21	37420299	37480826	3	1_2_2	322	0.018	n/a	/n/a	+	SRR12794698.17492407,SRR12794698.26621490,SRR12794698.9527378,	DYRK1A	4	86,197,120,189
chr21:37420299|37472880	chr21	37420299	37472880	18	7_12_8	306	0.105	n/a	/n/a	+	SRR12794698.8981290,SRR12794698.10552071,SRR12794698.13133909,SRR12794698.15795030,SRR12794698.16077153,SRR12794698.18582839,SRR12794698.25897275,SRR12794698.28608496,SRR12794698.28905572,SRR12794698.28905961,SRR12794698.29705659,SRR12794698.35206809,SRR12794698.38037976,SRR12794698.48363801,SRR12794698.26743545,SRR12794698.32866967,SRR12794698.32867185,SRR12794698.47900892,	DYRK1A	2	86,197
chr21:39206108|39212707	chr21	39206108	39212707	30	25_4_21	157	0.276	n/a	/n/a	-	SRR12794698.3026795,SRR12794698.8935868,SRR12794698.9084131,SRR12794698.9539725,SRR12794698.10019997,SRR12794698.10415707,SRR12794698.10581425,SRR12794698.11555444,SRR12794698.17557408,SRR12794698.17557482,SRR12794698.17557615,SRR12794698.23610536,SRR12794698.23627734,SRR12794698.24560448,SRR12794698.25643609,SRR12794698.26301115,SRR12794698.26758580,SRR12794698.28297146,SRR12794698.31236175,SRR12794698.31318788,SRR12794698.33571192,SRR12794698.35508737,SRR12794698.35940568,SRR12794698.35940605,SRR12794698.36563571,SRR12794698.36876119,SRR12794698.37869112,SRR12794698.45784112,SRR12794698.49056262,SRR12794698.49068803,	BRWD1	4	167,153,144,42
chr21:39206108|39229436	chr21	39206108	39229436	6	4_4_0	157	0.071	n/a	/n/a	-	SRR12794698.27047108,SRR12794698.36635373,SRR12794698.40629213,SRR12794698.45620809,SRR12794698.48670385,SRR12794698.48670386,	BRWD1	12	167,153,144,42,73,126,121,156,62,112,83,125
chr21:39209995|39215362	chr21	39209995	39215362	3	1_1_1	153	0.038	n/a	/n/a	-	SRR12794698.48058187,SRR12794698.16973054,SRR12794698.16973271,	BRWD1	5	153,144,42,73,126
chr21:39213481|39225197	chr21	39213481	39225197	5	1_1_3	185	0.051	n/a	/n/a	-	SRR12794698.27020838,SRR12794698.38238426,SRR12794698.42086242,SRR12794698.42087406,SRR12794698.45725638,	BRWD1	6	73,126,121,156,62,112
chr21:39215237|39218660	chr21	39215237	39218660	6	4_4_0	181	0.062	n/a	/n/a	-	SRR12794698.7143192,SRR12794698.11221200,SRR12794698.18203244,SRR12794698.19817971,SRR12794698.39664705,SRR12794698.46850536,	BRWD1	3	126,121,156
chr21:39224408|39229436	chr21	39224408	39229436	6	3_5_2	198	0.057	n/a	/n/a	-	SRR12794698.8536976,SRR12794698.12924275,SRR12794698.32992596,SRR12794698.35106134,SRR12794698.35106291,SRR12794698.42510201,	BRWD1	4	62,112,83,125
chr21:39228500|39229436	chr21	39228500	39229436	8	3_5_4	164	0.089	n/a	/n/a	-	SRR12794698.4539797,SRR12794698.10116203,SRR12794698.11470852,SRR12794698.20868213,SRR12794698.20868259,SRR12794698.23426126,SRR12794698.7737715,SRR12794698.15613196,	BRWD1	2	83,125
chr21:39232177|39232498	chr21	39232177	39232498	3	2_2_0	156	0.037	n/a	/n/a	-	SRR12794698.31423542,SRR12794698.35295683,SRR12794698.35296116,	BRWD1	2	108,126
chr21:39247701|39250889	chr21	39247701	39250889	2	2_1_1	167	0.023	n/a	/n/a	-	SRR12794698.30143113,SRR12794698.48814223,	BRWD1	2	132,94
chr21:39276173|39278813	chr21	39276173	39278813	3	0_2_3	171	0.034	n/a	/n/a	-	SRR12794698.4499310,SRR12794698.14924300,SRR12794698.8409234,	BRWD1	3	41,101,71
chr21:39293811|39298582	chr21	39293811	39298582	7	4_4_0	160	0.08	n/a	/n/a	-	SRR12794698.13328215,SRR12794698.21468541,SRR12794698.41742016,SRR12794698.43522578,SRR12794698.48908521,SRR12794698.48909980,SRR12794698.48910067,	BRWD1	4	222,161,99,151
chr21:42850041|42876767	chr21	42850041	42876767	2	1_0_2	6	0.4	n/a	/n/a	-	SRR12794698.31805936,SRR12794698.11829042,	WDR4	10	202,70,184,65,99,61,113,157,141,66
chr21:43669884|43673955	chr21	43669884	43673955	4	0_1_2	61	0.116	n/a	/n/a	+	SRR12794698.24833351,SRR12794698.24834440,SRR12794698.22880203,SRR12794698.23765017,	RRP1B	3	83,58,86
chr21:43734069|43743807	chr21	43734069	43743807	2	0_2_2	110	0.035	n/a	/n/a	+	SRR12794698.15887715,SRR12794698.33251582,	PDXK	3	55,105,84
chr21:43746079|43749080	chr21	43746079	43749080	5	2_1_3	116	0.079	n/a	/n/a	+	SRR12794698.23404714,SRR12794698.27742769,SRR12794698.27743308,SRR12794698.27744064,SRR12794698.48630445,	PDXK	2	47,86
chr21:44077693|44080127	chr21	44077693	44080127	6	1_3_3	186	0.061	n/a	/n/a	+	SRR12794698.1600866,SRR12794698.4620044,SRR12794698.17510027,SRR12794698.25631814,SRR12794698.25631908,SRR12794698.11947344,	TRAPPC10	3	92,141,113
chr21:44082788|44087928	chr21	44082788	44087928	2	2_2_0	199	0.02	n/a	/n/a	+	SRR12794698.28724379,SRR12794698.28724396,	TRAPPC10	4	515,142,159,230
chr21:44094063|44098534	chr21	44094063	44098534	2	2_1_0	110	0.035	n/a	/n/a	+	SRR12794698.8794635,SRR12794698.3846953,	TRAPPC10	2	171,178
chr21:44855210|44861271	chr21	44855210	44861271	48	7_29_31	355	0.213	n/a	/n/a	-	SRR12794698.619348,SRR12794698.619477,SRR12794698.780726,SRR12794698.1733976,SRR12794698.2185787,SRR12794698.2857979,SRR12794698.2998418,SRR12794698.3289261,SRR12794698.3289300,SRR12794698.6128635,SRR12794698.8917765,SRR12794698.15045739,SRR12794698.15106240,SRR12794698.16224316,SRR12794698.18063939,SRR12794698.21500061,SRR12794698.22892411,SRR12794698.23302064,SRR12794698.23338895,SRR12794698.25826197,SRR12794698.26740769,SRR12794698.30759868,SRR12794698.31660464,SRR12794698.32955693,SRR12794698.32955753,SRR12794698.34517765,SRR12794698.35052703,SRR12794698.36327440,SRR12794698.38712076,SRR12794698.40854186,SRR12794698.41905195,SRR12794698.41905612,SRR12794698.42153763,SRR12794698.44184892,SRR12794698.44357254,SRR12794698.45051214,SRR12794698.46516997,SRR12794698.46521955,SRR12794698.47610573,SRR12794698.1071292,SRR12794698.8313249,SRR12794698.11128638,SRR12794698.11269949,SRR12794698.11622348,SRR12794698.21828568,SRR12794698.44013878,SRR12794698.44795353,SRR12794698.46146042,	PTTG1IP	3	47,172,109
chr21:45128402|45134832	chr21	45128402	45134832	6	4_4_1	23	0.343	n/a	/n/a	+	SRR12794698.21351931,SRR12794698.22900530,SRR12794698.29258489,SRR12794698.29258824,SRR12794698.35154980,SRR12794698.1963045,	ADARB1	2	172,118
chr21:46279993|46280575	chr21	46279993	46280575	4	2_2_0	139	0.054	n/a	/n/a	-	SRR12794698.21940128,SRR12794698.45057351,SRR12794698.45057352,SRR12794698.45058095,	MCM3AP	2	145,79
chr21:46349012|46349820	chr21	46349012	46349820	20	13_11_0	26	0.606	n/a	/n/a	+	SRR12794698.4811933,SRR12794698.11537085,SRR12794698.27334119,SRR12794698.32807945,SRR12794698.32808402,SRR12794698.35614351,SRR12794698.35614770,SRR12794698.44048862,SRR12794698.45003641,SRR12794698.47678106,SRR12794698.48425049,SRR12794698.48426163,SRR12794698.9970250,SRR12794698.10187324,SRR12794698.11771482,SRR12794698.13692660,SRR12794698.31985394,SRR12794698.34655130,SRR12794698.40990486,SRR12794698.47357438,	PCNT	2	175,137
chr21:46399590|46402483	chr21	46399590	46402483	5	5_5_0	30	0.25	n/a	/n/a	+	SRR12794698.726576,SRR12794698.5925228,SRR12794698.7210893,SRR12794698.13785663,SRR12794698.20497391,	PCNT	3	207,171,153
chr21:46643535|46644488	chr21	46643535	46644488	4	2_3_0	430	0.018	n/a	/n/a	+	SRR12794698.14476020,SRR12794698.22366640,SRR12794698.7789856,SRR12794698.7790229,	PRMT2	2	105,183
chr3:3137260|3144710	chr3	3137260	3144710	16	11_11_1	56	0.364	n/a	/n/a	+	SRR12794698.974287,SRR12794698.974395,SRR12794698.1300934,SRR12794698.6802347,SRR12794698.12272879,SRR12794698.13717212,SRR12794698.20686566,SRR12794698.21722571,SRR12794698.24212850,SRR12794698.29867760,SRR12794698.30094234,SRR12794698.30095049,SRR12794698.33004139,SRR12794698.34962972,SRR12794698.43425091,SRR12794698.40898719,	TRNT1	3	194,139,127
chr3:3137260|3140648	chr3	3137260	3140648	7	5_4_0	68	0.171	n/a	/n/a	+	SRR12794698.3119670,SRR12794698.19180370,SRR12794698.29782497,SRR12794698.31468051,SRR12794698.33681838,SRR12794698.33683145,SRR12794698.22553326,	TRNT1	2	194,139
chr3:3140510|3144710	chr3	3140510	3144710	4	4_4_0	73	0.099	n/a	/n/a	+	SRR12794698.22465562,SRR12794698.27388658,SRR12794698.31726619,SRR12794698.40598202,	TRNT1	2	139,127
chr3:3156219|3174261	chr3	3156219	3174261	16	2_10_8	299	0.097	n/a	/n/a	-	SRR12794698.4972549,SRR12794698.5563162,SRR12794698.6714666,SRR12794698.6722151,SRR12794698.10245269,SRR12794698.11017444,SRR12794698.11018606,SRR12794698.18178182,SRR12794698.18178343,SRR12794698.20302285,SRR12794698.20302376,SRR12794698.27818501,SRR12794698.29672525,SRR12794698.40420687,SRR12794698.41398536,SRR12794698.46821813,	CRBN	4	63,160,150,203
chr3:3167634|3175266	chr3	3167634	3175266	2	1_1_1	295	0.013	n/a	/n/a	-	SRR12794698.11894807,SRR12794698.21562190,	CRBN	4	160,150,203,104
chr3:3167634|3175269	chr3	3167634	3175269	10	7_4_1	292	0.064	n/a	/n/a	-	SRR12794698.1988782,SRR12794698.12244993,SRR12794698.27167012,SRR12794698.38687429,SRR12794698.38939585,SRR12794698.42089557,SRR12794698.42089724,SRR12794698.14836823,SRR12794698.24210509,SRR12794698.24211261,	CRBN	4	160,150,203,107
chr3:3777725|3789074	chr3	3777725	3789074	3	0_3_2	5	0.545	n/a	/n/a	-	SRR12794698.7876451,SRR12794698.33578379,SRR12794698.8969533,	LOC100130207	4	79,82,199,161
chr3:4410865|4420146	chr3	4410865	4420146	8	7_4_5	103	0.134	n/a	/n/a	-	SRR12794698.838788,SRR12794698.2512224,SRR12794698.7514515,SRR12794698.21484197,SRR12794698.25799247,SRR12794698.27089643,SRR12794698.37262836,SRR12794698.38014525,	SUMF1	4	114,115,123,83
chr3:4449266|4453049	chr3	4449266	4453049	3	1_2_1	85	0.066	n/a	/n/a	-	SRR12794698.15120662,SRR12794698.21535539,SRR12794698.21535620,	SUMF1	2	75,174
chr3:5170503|5174414	chr3	5170503	5174414	2	0_1_2	34	0.105	n/a	/n/a	+	SRR12794698.27138435,SRR12794698.6506953,	ARL8B	5	81,74,94,68,71
chr3:5172150|5172740	chr3	5172150	5172740	3	3_1_1	20	0.231	n/a	/n/a	+	SRR12794698.4257867,SRR12794698.21439535,SRR12794698.13770623,	ARL8B	2	74,94
chr3:5174017|5174414	chr3	5174017	5174414	27	18_18_0	40	0.574	n/a	/n/a	+	SRR12794698.3763042,SRR12794698.5398142,SRR12794698.5398661,SRR12794698.9311566,SRR12794698.10585164,SRR12794698.10585982,SRR12794698.11436513,SRR12794698.11985404,SRR12794698.15181753,SRR12794698.16725044,SRR12794698.18760617,SRR12794698.24466127,SRR12794698.24814120,SRR12794698.32673965,SRR12794698.39106801,SRR12794698.43244995,SRR12794698.43737413,SRR12794698.47670188,SRR12794698.48894151,SRR12794698.1511896,SRR12794698.9797129,SRR12794698.21588107,SRR12794698.26171913,SRR12794698.29825842,SRR12794698.29826440,SRR12794698.32025957,SRR12794698.32298743,	ARL8B	2	68,71
chr3:8935871|8941804	chr3	8935871	8941804	14	9_9_0	17	0.622	n/a	/n/a	-	SRR12794698.359063,SRR12794698.1358659,SRR12794698.1358701,SRR12794698.1359454,SRR12794698.5665696,SRR12794698.5665987,SRR12794698.12683266,SRR12794698.17198892,SRR12794698.17505644,SRR12794698.27155400,SRR12794698.30285760,SRR12794698.31401479,SRR12794698.34201818,SRR12794698.41944225,	RAD18	3	185,100,338
chr3:9388087|9390497	chr3	9388087	9390497	4	2_3_0	111	0.067	n/a	/n/a	-	SRR12794698.35847901,SRR12794698.19301167,SRR12794698.23707529,SRR12794698.38076255,	THUMPD3-AS1	2	41,208
chr3:9445048|9445740	chr3	9445048	9445740	3	2_1_0	97	0.058	n/a	/n/a	+	SRR12794698.33078442,SRR12794698.32056696,SRR12794698.41465351,	SETD5	2	253,84
chr3:9669432|9671170	chr3	9669432	9671170	6	3_2_1	337	0.034	n/a	/n/a	+	SRR12794698.14953320,SRR12794698.14953454,SRR12794698.25221457,SRR12794698.25222885,SRR12794698.25223031,SRR12794698.32471925,	MTMR14	2	61,123
