,id,X.chrom,start,end,name,score,strand
50,gene_10041,chr18,59415409,59423879,RP11-1096D5.1,0,+
51,gene_10042,chr6,36410544,36458920,KCTD20,0,+
52,gene_10043,chr11,77882295,77899868,KCTD21,0,-
53,gene_10044,chr17,33400850,33401393,RP5-837J1.4,0,-
54,gene_10045,chr20,939095,982907,RSPO4,0,-
55,gene_10046,chr5,40967607,40967865,RP11-301A5.2,0,-
56,gene_10047,chr12,4671370,4724468,DYRK4,0,+
57,gene_10048,chr14,24683161,24701558,NEDD8-MDP1,0,-
58,gene_10049,chr13,93878865,93879570,RP11-632L2.2,0,-
59,gene_1005,chr1,210851657,210855274,RP11-75I2.3,0,+
60,gene_10050,chr15,64364758,64386217,FAM96A,0,-
61,gene_10051,chr13,93708910,93710179,RP11-632L2.1,0,+
62,gene_10052,chr22,22077172,22077471,RN7SL280P,0,-
63,gene_10053,chr2,70071641,70072065,RP11-401N16.2,0,-
64,gene_10054,chr2,70100697,70100951,RP11-401N16.1,0,-
65,gene_10055,chr20,18200757,18201156,RP4-717M23.2,0,+
66,gene_10056,chr14,84642763,84643432,CTD-2320B12.2,0,+
67,gene_10057,chr1,173938456,173938574,RNA5SP68,0,-
68,gene_10058,chr5,36248536,36302216,RANBP3L,0,-
69,gene_10059,chr11,93754527,93846917,HEPHL1,0,+
70,gene_1006,chr1,50307493,50312072,RP5-1092E23.1,0,+
71,gene_10060,chr1,104256345,104262493,AMYP1,0,+
72,gene_10061,chr11,948421,948524,RNU6-1025P,0,+
73,gene_10062,chr2,58478575,58479660,AC007250.3,0,+
74,gene_10063,chr2,58503012,58523683,AC007250.4,0,+
75,gene_10064,chr9,118087211,118506609,RP11-284G10.1,0,-
76,gene_10065,chr2,11805495,11806095,AC110754.3,0,-
77,gene_10066,chr10,36723638,36724102,RP11-92J19.2,0,-
78,gene_10067,chr10,36727544,36731320,RP11-92J19.3,0,+
79,gene_10068,chr12,124457788,124800570,FAM101A,0,+
80,gene_10069,chr10,36721810,36723412,RP11-92J19.1,0,-
81,gene_1007,chr4,190942562,190943820,DUX4L9,0,-
82,gene_10070,chr11,3994111,3995467,RP11-438N5.3,0,-
83,gene_10071,chr12,9217773,9220656,RP11-436I9.2,0,+
84,gene_10072,chr12,9188940,9189840,RP11-436I9.3,0,+
85,gene_10073,chr11,13690874,13691696,RP11-261E12.2,0,+
86,gene_10074,chr20,48552873,48570429,RNF114,0,+
87,gene_10075,chr20,3907956,3996229,RNF24,0,-
88,gene_10076,chr17,64394187,64412972,RP11-4F22.2,0,-
89,gene_10077,chr17,64274177,64274782,RP11-4F22.3,0,+
90,gene_10078,chr8,16133190,16133805,RP11-447G11.1,0,+
91,gene_10079,chr10,72575717,72640930,SGPL1,0,+
92,gene_1008,chr1,169993218,169993824,RP11-332H17.1,0,+
93,gene_10080,chr12,107487076,107517092,RP11-797M17.1,0,+
94,gene_10081,chr15,50786215,50789277,RP11-562A8.5,0,-
95,gene_10082,chr11,3982507,3982768,RP11-438N5.4,0,+
96,gene_10083,chr15,50709582,50710889,RP11-562A8.3,0,+
97,gene_10084,chr11,6416354,6440644,APBB1,0,-
98,gene_10085,chr4,40812044,41218731,APBB2,0,-
99,gene_10086,chr5,139937853,139944366,APBB3,0,-
100,gene_10087,chr21,15215454,15220685,CYP4F3LP,0,-
101,gene_10088,chr7,102322283,102330916,RP11-577H5.2,0,-
102,gene_10089,chr7,102395593,102396386,RP11-577H5.1,0,+
103,gene_1009,chr18,9475007,9538114,RALBP1,0,+
104,gene_10090,chr5,149311577,149312231,AC008427.2,0,-
105,gene_10091,chr17,6225733,6226548,BTF3P14,0,-
106,gene_10092,chr7,102277496,102312088,RP11-577H5.5,0,-
107,gene_10093,chr16,1413206,1464752,UNKL,0,-
108,gene_10094,chr3,49044495,49053386,WDR6,0,+
109,gene_10095,chr9,137000487,137025090,WDR5,0,+
110,gene_10096,chr21,44263204,44299678,WDR4,0,-
111,gene_10097,chr1,118472343,118509165,WDR3,0,+
112,gene_10098,chr5,140894583,140998622,DIAPH1,0,-
113,gene_10099,chr4,10075963,10118573,WDR1,0,-
114,gene_101,chr17,19321117,19396304,AC004448.5,0,-
115,gene_1010,chr5,158737753,159232543,AC008697.1,0,+
116,gene_10100,chr10,37233039,37233666,RP11-322I2.2,0,-
117,gene_10101,chr4,71235810,71255961,SMR3B,0,+
118,gene_10102,chr4,14507489,14508104,RP11-458B24.1,0,-
119,gene_10103,chr4,71226478,71232875,SMR3A,0,+
120,gene_10104,chr16,9560512,9611421,RP11-418I22.2,0,+
121,gene_10105,chr22,25833273,25833790,IGLVIVOR22-1,0,-
122,gene_10106,chr17,36351796,36398302,CH17-258A22.4,0,-
123,gene_10107,chr12,120875893,120878545,COX6A1,0,+
124,gene_10108,chr16,31439052,31439749,COX6A2,0,-
125,gene_10109,chr2,99935445,99957165,TXNDC9,0,-
126,gene_1011,chr4,186587039,186596571,RP11-626E13.1,0,+
127,gene_10110,chr11,111222977,111326355,POU2AF1,0,-
128,gene_10111,chr12,11552315,11639612,RP11-711K1.7,0,-
129,gene_10112,chr19,58388133,58427959,CTD-2583A14.9,0,-
130,gene_10113,chr1,213602051,213602420,RP11-554K11.1,0,-
131,gene_10114,chr13,74993310,75009296,RP11-512C24.2,0,+
132,gene_10115,chr22,31955469,31955925,RP11-247I13.3,0,+
133,gene_10116,chr12,52470625,52475868,RP11-1100L3.7,0,-
134,gene_10117,chr12,52294349,52295120,RP11-1100L3.4,0,+
135,gene_10118,chr6,76353800,76353893,RNU6-1016P,0,+
136,gene_10119,chr12,52452243,52453287,RP11-1100L3.8,0,-
137,gene_1012,chr10,47011753,47174018,LINC00842,0,-
138,gene_10120,chr12,54148142,54155888,RP11-686F15.2,0,+
139,gene_10121,chr17,18743931,18744231,RN7SL627P,0,+
140,gene_10122,chr11,64649007,64649417,AP001187.11,0,+
141,gene_10123,chr22,31934338,31934575,RP11-247I13.6,0,-
142,gene_10124,chr15,100516686,100520979,CTD-3076O17.2,0,+
143,gene_10125,chr1,84829389,84863514,UOX,0,-
144,gene_10126,chr4,121956768,121994176,NDNF,0,-
145,gene_10127,chr2,49007741,49008034,AC091788.2,0,+
146,gene_10128,chr16,62221444,62221550,RNU6-21P,0,-
147,gene_10129,chrX,75002823,75005071,MAGEE2,0,-
148,gene_1013,chr18,14195,16898,AP005530.2,0,-
149,gene_10130,chrX,75648117,75651746,MAGEE1,0,+
150,gene_10131,chr15,100510420,100514215,CTD-3076O17.1,0,+
151,gene_10132,chr20,31152794,31196695,RP11-410N8.4,0,+
152,gene_10133,chr7,37156384,37156790,AC009196.2,0,+
153,gene_10134,chr7,37037401,37053235,AC009196.1,0,+
154,gene_10135,chrX,73040486,73072588,XIST,0,-
155,gene_10136,chr12,6548167,6560733,CD27-AS1,0,-
156,gene_10137,chr2,188607314,188607401,AC068718.2,0,-
157,gene_10138,chr19,22311429,22313120,ZNF92P2,0,-
158,gene_10139,chr2,188577543,189249040,AC068718.1,0,-
159,gene_1014,chr14,19475986,19476383,CTD-2311B13.10,0,-
160,gene_10140,chr8,101585110,101675643,SNX31,0,-
161,gene_10141,chr9,115513118,115643951,SNX30,0,+
162,gene_10142,chr13,53941980,53942091,AL450423.1,0,-
163,gene_10143,chr11,65601112,65624367,SNX32,0,+
164,gene_10144,chr3,121372843,121373143,RN7SL172P,0,-
165,gene_10145,chr12,8975068,9039597,A2ML1,0,+
166,gene_10146,chr3,32827138,32827608,AC139452.2,0,+
167,gene_10147,chr8,141646380,141648382,ERICD,0,+
168,gene_10148,chr12,57869228,57911352,MARS,0,+
169,gene_10149,chrX,47298135,47299173,RP13-479F17.2,0,-
170,gene_1015,chr11,39183003,39183517,RP11-313M3.1,0,+
171,gene_10150,chr7,6618196,6628605,AC079742.4,0,-
172,gene_10151,chr19,44220162,44224173,IRGC,0,+
173,gene_10152,chr19,40710019,40710106,AC118344.1,0,+
174,gene_10153,chr5,20304154,20305557,RP11-420O16.2,0,-
175,gene_10154,chr5,20305674,20331565,RP11-420O16.1,0,+
176,gene_10155,chr5,150226085,150280298,IRGM,0,+
177,gene_10156,chr2,140426116,140426874,AC012497.1,0,+
178,gene_10157,chr17,20867035,20883551,RP11-381P6.1,0,+
179,gene_10158,chr1,45246003,45246387,RP11-269F19.4,0,-
180,gene_10159,chr7,57710087,57710825,RP11-368M16.9,0,-
181,gene_1016,chr20,57698436,57834168,ZNF831,0,+
182,gene_10160,chr7,57712442,57713165,RP11-368M16.8,0,-
183,gene_10161,chr1,45224709,45241482,RP11-269F19.2,0,-
184,gene_10162,chr7,57710227,57710560,RP11-368M16.5,0,+
185,gene_10163,chr7,57698431,57698818,RP11-368M16.4,0,+
186,gene_10164,chr1,12096799,12097071,RN7SL649P,0,-
187,gene_10165,chr7,57712581,57712914,RP11-368M16.6,0,+
188,gene_10166,chr4,165798156,165820117,APELA,0,+
189,gene_10167,chr7,57688185,57704895,RP11-368M16.3,0,-
190,gene_10168,chr1,17028041,17032089,RP1-163M9.7,0,+
191,gene_10169,chr1,17066775,17077463,RP1-163M9.5,0,+
192,gene_1017,chr17,33288549,33290794,ZNF830,0,+
193,gene_10170,chr12,81664454,81706201,RP11-121G22.3,0,+
194,gene_10171,chr1,92683497,92711370,C1orf146,0,+
195,gene_10172,chr1,206664449,206671061,C1orf147,0,-
196,gene_10173,chr1,67557848,67697536,C1orf141,0,-
197,gene_10174,chr1,229228562,229230652,RP5-1065P14.2,0,-
198,gene_10175,chr1,16983374,16994019,RP1-163M9.8,0,+
199,gene_10176,chr9,77812987,77813093,RNU6-1228P,0,+
200,gene_10177,chr19,15256026,15256129,RNU6-782P,0,+
201,gene_10178,chr17,48704393,48709301,CTB-22K21.2,0,-
202,gene_10179,chr14,74318674,74398981,RP5-1021I20.4,0,+
203,gene_1018,chr19,57173349,57183151,ZNF835,0,-
204,gene_10180,chr6,89887220,89940997,GABRR1,0,-
205,gene_10181,chr6,89966927,90025018,GABRR2,0,-
206,gene_10182,chr3,97705517,97754148,GABRR3,0,-
207,gene_10183,chr2,197696699,197696914,RP11-84A12.1,0,-
208,gene_10184,chr11,120894834,120983817,CMB9-75A1.1,0,+
209,gene_10185,chr1,119590028,119607408,RP4-712E4.4,0,+
210,gene_10186,chr1,119542967,119544015,RP4-712E4.1,0,-
211,gene_10187,chr1,248020501,248041507,TRIM58,0,+
212,gene_10188,chr1,119543241,119544028,RP4-712E4.2,0,-
213,gene_10189,chr8,67039131,67087722,TRIM55,0,+
214,gene_1019,chr19,9885173,9885636,UBE2L4,0,+
215,gene_10190,chr2,27505260,27530307,TRIM54,0,+
216,gene_10191,chr7,100728720,100741248,TRIM56,0,+
217,gene_10192,chr6,167342992,167370679,RNASET2,0,-
218,gene_10193,chr7,72726535,72742085,TRIM50,0,-
219,gene_10194,chr11,89726704,89732909,TRIM53,0,-
220,gene_10195,chr5,180681417,180688140,TRIM52,0,-
221,gene_10196,chr8,7458526,7458789,RP11-1118M6.2,0,+
222,gene_10197,chr8,7468995,7469212,RP11-1118M6.3,0,+
223,gene_10198,chr9,36214438,36277053,GNE,0,-
224,gene_10199,chr14,74362867,74404817,RP5-1021I20.5,0,-
225,gene_102,chr16,30483979,30534506,ITGAL,0,+
226,gene_1020,chr19,52657117,52674896,ZNF836,0,-
227,gene_10200,chr15,43477316,43489374,CCNDBP1,0,+
228,gene_10201,chr4,23107125,23125110,RP11-552M14.1,0,+
229,gene_10202,chr17,34290506,34292480,CTB-186H2.2,0,-
230,gene_10203,chr1,89282462,89282568,RNU6-125P,0,+
231,gene_10204,chr16,3179778,3192806,ZNF213,0,+
232,gene_10205,chr11,117070037,117075498,TAGLN,0,+
233,gene_10206,chr19,43124364,43137186,AC004558.3,0,-
234,gene_10207,chr2,88664214,88665127,MRPL45P1,0,-
235,gene_10208,chr19,15722434,15722720,AD000091.3,0,-
236,gene_10209,chr17,4469047,4475055,RP11-141J13.3,0,+
237,gene_1021,chr14,102783714,102809039,ZNF839,0,+
238,gene_10210,chr17,4475501,4475810,RP11-141J13.4,0,+
239,gene_10211,chr10,104592478,104594273,CYP17A1OS,0,+
240,gene_10212,chr6,117996665,118031803,NUS1,0,+
241,gene_10213,chr5,162466297,162466605,RP11-541P9.1,0,+
242,gene_10214,chr5,161851048,162864332,RP11-541P9.3,0,-
243,gene_10215,chr14,90203309,90204735,RP11-944C7.2,0,-
244,gene_10216,chr14,90095265,90109015,RP11-944C7.1,0,-
245,gene_10217,chr16,1925658,1925735,AL499628.1,0,-
246,gene_10218,chr16,86255029,86256335,RP11-514D23.3,0,-
247,gene_10219,chr5,110998318,111333161,NREP,0,-
248,gene_1022,chr1,111489807,111506701,LRIF1,0,-
249,gene_10220,chr6,68597538,68599231,RP11-301G19.1,0,-
250,gene_10221,chr17,26574470,26575315,PPY2,0,+
251,gene_10222,chr6,68643377,68644574,RP11-301G19.2,0,+
252,gene_10223,chr14,74307223,74307312,RP5-1021I20.7,0,-
253,gene_10224,chr17,15947935,15948275,RPLP1P11,0,+
254,gene_10225,chr14,77787227,77797940,GSTZ1,0,+
255,gene_10226,chr5,176921996,176930648,RP11-1334A24.6,0,+
256,gene_10227,chr5,176903632,176906657,RP11-1334A24.5,0,-
257,gene_10228,chr5,176865504,176874700,RP11-1334A24.4,0,-
258,gene_10229,chr1,155141884,155145951,KRTCAP2,0,-
259,gene_1023,chr7,44959268,44959928,AC004854.5,0,+
260,gene_10230,chr2,27665233,27669348,KRTCAP3,0,+
261,gene_10231,chr20,44993190,45019524,RP11-394O2.3,0,+
262,gene_10232,chr14,101340830,101340922,MIR337,0,+
263,gene_10233,chr7,76713104,76751433,AC007000.7,0,-
264,gene_10234,chr19,859643,863630,CFD,0,+
265,gene_10235,chr3,113307595,113309036,AC055740.2,0,-
266,gene_10236,chr19,58929927,58930677,CTD-2619J13.16,0,+
267,gene_10237,chr7,48942152,48943487,AC006024.3,0,-
268,gene_10238,chr7,48959361,48965609,AC006024.4,0,+
269,gene_10239,chr2,54278471,54278897,AC008280.2,0,+
270,gene_1024,chr5,125935960,125962944,PHAX,0,+
271,gene_10240,chr2,54307111,54307417,AC008280.3,0,-
272,gene_10241,chr21,35507732,35508371,RPS5P2,0,-
273,gene_10242,chr2,54256689,54257819,AC008280.1,0,-
274,gene_10243,chr19,20318001,20320598,CTC-260E6.3,0,-
275,gene_10244,chr19,20235853,20236293,CTC-260E6.2,0,+
276,gene_10245,chr9,105057659,105057746,AL391867.1,0,+
277,gene_10246,chr16,85692984,85693279,RN7SL381P,0,+
278,gene_10247,chr15,45994838,45995381,CTD-2306A12.1,0,+
279,gene_10248,chr19,20285822,20287872,CTC-260E6.8,0,-
280,gene_10249,chr7,38384631,38385100,TRGV5P,0,-
281,gene_1025,chr16,24247425,24264184,AC004125.3,0,+
282,gene_10250,chr11,2349979,2399222,AC129929.5,0,-
283,gene_10251,chr2,10857899,10861078,AC092687.3,0,+
284,gene_10252,chr11,111734977,111735183,GNG5P3,0,+
285,gene_10253,chr7,122316634,122316865,RP11-395G17.1,0,+
286,gene_10254,chr10,118783185,118783362,RP11-5G18.2,0,-
287,gene_10255,chr2,10987703,10995081,AC092687.4,0,+
288,gene_10256,chr2,10729292,10744956,AC092687.5,0,+
289,gene_10257,chr6,33172419,33174608,HSD17B8,0,+
290,gene_10258,chr1,24128375,24165110,HMGCL,0,-
291,gene_10259,chr11,20409076,20530840,PRMT3,0,+
292,gene_1026,chr8,30611753,30612056,RP11-465K4.4,0,-
293,gene_10260,chr2,177246960,177247060,AC068706.2,0,-
294,gene_10261,chr2,177248155,177248304,AC068706.1,0,-
295,gene_10262,chr2,217347755,217351919,AC098820.4,0,-
296,gene_10263,chr5,118788138,118972894,HSD17B4,0,+
297,gene_10264,chr2,217250011,217277419,AC098820.2,0,-
298,gene_10265,chr12,57145945,57181574,HSD17B6,0,+
299,gene_10266,chr1,162760492,162782607,HSD17B7,0,+
300,gene_10267,chr11,67429633,67448671,ALDH3B2,0,-
301,gene_10268,chr3,134066130,134068075,RP11-375I20.6,0,-
302,gene_10269,chr3,134104039,134104336,RP11-375I20.2,0,+
303,gene_1027,chrY,23473154,23480781,AC010086.1,0,+
304,gene_10270,chr3,134156447,134157053,RP11-375I20.3,0,+
305,gene_10271,chr11,64884629,64884930,AP003068.12,0,+
306,gene_10272,chr20,6711905,6716783,RP5-859D4.3,0,-
307,gene_10273,chr15,33603146,34158322,RYR3,0,+
308,gene_10274,chr6,137865034,137865509,RP3-372K1.1,0,-
309,gene_10275,chr16,10315634,10315930,RN7SL493P,0,-
310,gene_10276,chr11,25652266,25652587,RP11-46P12.1,0,+
311,gene_10277,chr14,21558205,21572881,ZNF219,0,-
312,gene_10278,chr10,34398488,35104253,PARD3,0,-
313,gene_10279,chr14,44464984,44853748,RP11-305B6.3,0,-
314,gene_1028,chr16,67584718,67586838,CTD-2012K14.5,0,-
315,gene_10280,chr14,44546737,44547087,RP11-305B6.2,0,-
316,gene_10281,chr14,44589413,44589964,RP11-305B6.1,0,-
317,gene_10282,chr7,143873833,143874235,OR2AO1P,0,+
318,gene_10283,chr17,26700692,26701320,CTB-96E2.6,0,-
319,gene_10284,chr17,26688623,26689881,CTB-96E2.7,0,-
320,gene_10285,chr2,50848101,50860131,RP11-358H12.1,0,+
321,gene_10286,chr17,26691310,26695033,CTB-96E2.2,0,-
322,gene_10287,chr17,26684670,26708716,CTB-96E2.3,0,+
323,gene_10288,chr16,1401924,1414114,GNPTG,0,+
324,gene_10289,chr13,19589627,19593476,RP11-301J16.3,0,-
325,gene_1029,chr12,19661838,19662179,RP11-841C19.1,0,+
326,gene_10290,chr13,19600141,19606766,RP11-301J16.2,0,-
327,gene_10291,chr13,19601977,19602841,RP11-301J16.7,0,+
328,gene_10292,chr8,87060602,87100850,PSKH2,0,-
329,gene_10293,chr13,19582399,19586699,RP11-301J16.5,0,+
330,gene_10294,chr8,87788707,87788866,RP11-386D6.3,0,-
331,gene_10295,chr15,25154079,25154972,AC090602.1,0,-
332,gene_10296,chr15,25156021,25156272,AC090602.2,0,-
333,gene_10297,chr14,101798853,101800668,RP11-168L7.1,0,-
334,gene_10298,chr2,102927962,102968497,IL1RL1,0,+
335,gene_10299,chr2,102803433,102856462,IL1RL2,0,+
336,gene_103,chr16,31271311,31344213,ITGAM,0,+
337,gene_1030,chr19,19101697,19144832,SUGP2,0,-
338,gene_10300,chr14,101872324,101874259,RP11-168L7.2,0,-
339,gene_10301,chr15,59968956,59969520,RP11-361D15.1,0,+
340,gene_10302,chr15,59980716,59981617,RP11-361D15.2,0,+
341,gene_10303,chr15,62535565,62535647,AC126323.1,0,-
342,gene_10304,chr11,35882204,35882294,AC090692.1,0,-
343,gene_10305,chr17,53246184,53250993,CTC-462L7.1,0,+
344,gene_10306,chr12,62995531,62997470,C12orf61,0,-
345,gene_10307,chr22,33179163,33180968,LL22NC01-116C6.1,0,+
346,gene_10308,chr11,57509635,57560715,RP11-691N7.6,0,+
347,gene_10309,chr8,40227547,40259367,CTA-392C11.2,0,+
348,gene_1031,chr16,67576026,67576866,CTD-2012K14.3,0,-
349,gene_10310,chr8,40156260,40200921,CTA-392C11.1,0,-
350,gene_10311,chr5,86501225,86535962,CTC-242N15.1,0,-
351,gene_10312,chr12,118573663,118583389,PEBP1,0,+
352,gene_10313,chr8,22570764,22857513,PEBP4,0,-
353,gene_10314,chr17,60704762,60770958,MRC2,0,+
354,gene_10315,chr8,70579282,70747299,SLCO5A1,0,-
355,gene_10316,chr12,14956506,15059520,C12orf60,0,+
356,gene_10317,chr8,19103860,19106750,RP11-618M23.2,0,+
357,gene_10318,chr8,99645775,99646093,KB-1205A7.1,0,+
358,gene_10319,chr3,129740396,129741363,OR7E129P,0,-
359,gene_1032,chr12,77949297,77950568,AC073528.1,0,-
360,gene_10320,chr8,99615481,99618568,KB-1205A7.2,0,+
361,gene_10321,chr11,55093232,55094149,OR4A12P,0,+
362,gene_10322,chr14,106373069,106373099,IGHD2-8,0,-
363,gene_10323,chr8,144397091,144397176,AC087793.1,0,+
364,gene_10324,chr13,31637443,31689836,RP11-173P16.2,0,+
365,gene_10325,chr6,66498310,66499180,MCART3P,0,+
366,gene_10326,chr22,46188298,46189516,RP1-37M3.8,0,-
367,gene_10327,chrX,17393543,17754114,NHS,0,+
368,gene_10328,chr20,23804406,23807368,CST2,0,-
369,gene_10329,chr18,12991361,13125051,CEP192,0,+
370,gene_1033,chr9,37459392,37459706,RN7SL463P,0,-
371,gene_10330,chrX,129040097,129063737,UTP14A,0,+
372,gene_10331,chr6,47199268,47277641,TNFRSF21,0,-
373,gene_10332,chr13,52598827,52607736,UTP14C,0,+
374,gene_10333,chr21,15443192,15443307,RNA5SP488,0,+
375,gene_10334,chr21,26574521,26574629,RNA5SP489,0,+
376,gene_10335,chr1,6521211,6526255,TNFRSF25,0,-
377,gene_10336,chr1,1210603,1215800,RP5-902P8.10,0,+
378,gene_10337,chr13,39584003,39612213,PROSER1,0,-
379,gene_10338,chr1,1185157,1186714,RP5-902P8.12,0,-
380,gene_10339,chr19,36249044,36261930,PROSER3,0,+
381,gene_1034,chr19,44100544,44105309,ZNF576,0,+
382,gene_10340,chr20,29944673,29944781,RNA5SP480,0,+
383,gene_10341,chr3,11529774,11529947,AC026185.1,0,-
384,gene_10342,chr20,30638391,30638508,RNA5SP482,0,+
385,gene_10343,chr20,33783109,33783226,RNA5SP483,0,+
386,gene_10344,chr9,85046804,85047820,RP11-15B24.3,0,-
387,gene_10345,chr9,85042265,85042940,RP11-15B24.2,0,-
388,gene_10346,chr9,85020103,85021154,RP11-15B24.1,0,+
389,gene_10347,chr12,26092262,26112698,RP11-877E17.2,0,-
390,gene_10348,GL000202.1,19075,24250,RP11-643C9.2,0,-
391,gene_10349,chr9,84592529,85395109,RP11-15B24.5,0,+
392,gene_1035,chr15,83211951,83317612,CPEB1,0,-
393,gene_10350,chr9,85066571,85070140,RP11-15B24.4,0,+
394,gene_10351,chr20,10415951,10617477,SLX4IP,0,+
395,gene_10352,chr8,87493983,87495231,CTD-3083F21.1,0,-
396,gene_10353,chr8,87515820,87517290,CTD-3083F21.5,0,+
397,gene_10354,chr9,2875442,2876427,RP11-255J3.2,0,-
398,gene_10355,chr9,2900320,2900804,RP11-255J3.3,0,-
399,gene_10356,chr5,35034257,35034347,AC010368.1,0,-
400,gene_10357,chr5,35051012,35051198,AC010368.2,0,+
401,gene_10358,chr18,8471829,8472124,RN7SL50P,0,+
402,gene_10359,chr14,44861734,44862919,RP11-99L13.2,0,-
403,gene_1036,chr19,52308069,52394203,ZNF577,0,-
404,gene_10360,chr14,44913950,44949821,RP11-99L13.1,0,-
405,gene_10361,chr18,13726659,13764557,RNMT,0,+
406,gene_10362,chr6,655939,656963,HUS1B,0,-
407,gene_10363,chr15,102516761,102519296,DDX11L9,0,-
408,gene_10364,chr2,62817390,62889789,AC092155.4,0,-
409,gene_10365,chr1,218511883,218512098,RP11-224O19.5,0,+
410,gene_10366,chr1,149646792,149649326,CH17-195C8.1,0,+
411,gene_10367,chr2,62759718,62760194,AC092155.1,0,-
412,gene_10368,chr2,62779598,62780569,AC092155.2,0,-
413,gene_10369,chr2,62788193,62788558,AC092155.3,0,-
414,gene_1037,chr12,117890817,117894791,RP11-227B21.2,0,+
415,gene_10370,chr15,78952986,79029026,RP11-160C18.2,0,+
416,gene_10371,chr7,5314000,5346501,SLC29A4,0,+
417,gene_10372,chr10,73079015,73141180,SLC29A3,0,+
418,gene_10373,chr11,66129992,66139685,SLC29A2,0,-
419,gene_10374,chr6,44187242,44201888,SLC29A1,0,+
420,gene_10375,chr15,79044449,79045715,RP11-160C18.4,0,+
421,gene_10376,chr12,70964749,70965220,RP11-785D18.3,0,+
422,gene_10377,chr12,71065698,71066636,RP11-785D18.2,0,+
423,gene_10378,chr17,5328459,5336196,CTC-524C5.2,0,-
424,gene_10379,chr6,11607785,11608214,RP11-679B17.2,0,+
425,gene_1038,chr14,96342729,96391908,TUNAR,0,+
426,gene_10380,chr15,96289033,96289223,RNU2-3P,0,+
427,gene_10381,chr17,5372412,5373680,CTC-524C5.5,0,+
428,gene_10382,chr1,15986364,15988217,RSC1A1,0,+
429,gene_10383,chr7,135645451,135645557,RNU6-223P,0,+
430,gene_10384,chr4,409907,410326,RP11-2H3.6,0,-
431,gene_10385,chr4,379963,447859,RP11-2H3.7,0,+
432,gene_10386,chr6,53605547,53611820,RP11-79N23.1,0,-
433,gene_10387,chr4,387323,387447,RP11-2H3.2,0,+
434,gene_10388,chr22,39118748,39119510,RP3-508I15.16,0,-
