id,X.chrom,start,end,name,score,strand
circ_10270,chr18,48444479,48447557,ME2,100,+
circ_10271,chr18,48444479,48450582,ME2,344,+
circ_10272,chr18,48444479,48458730,ME2,143,+
circ_10273,chr18,48444479,48466756,ME2,34,+
circ_10274,chr18,48450467,48458730,ME2,15,+
circ_10275,chr18,48573289,48575694,SMAD4,73,+
circ_10276,chr18,48573289,48581363,SMAD4,2,+
circ_10277,chr18,48573289,48586286,SMAD4,2,+
circ_10278,chr18,48573289,48593557,SMAD4,44,+
circ_10279,chr18,48581150,48586286,SMAD4,13,+
circ_1028,chr1,21186877,21191755,EIF4G3,4,-
circ_10280,chr18,48581150,48593557,SMAD4,66,+
circ_10281,chr18,48584494,48586286,SMAD4,152,+
circ_10282,chr18,51681607,51692536,MBD2,32,-
circ_10283,chr18,51686134,51692536,MBD2,21,-
circ_10284,chr18,51686134,51731527,MBD2,224,-
circ_10285,chr18,51714083,51731527,MBD2,106,-
circ_10286,chr18,51715243,51731527,MBD2,7,-
circ_10287,chr18,51797729,51800460,POLI,693,+
circ_10288,chr18,51797729,51804223,POLI,25,+
circ_10289,chr18,51797729,51804225,POLI,253,+
circ_1029,chr1,211923280,211966532,LPGAT1,3,-
circ_10290,chr18,51797729,51810383,POLI,338,+
circ_10291,chr18,51797729,51810435,POLI,17,+
circ_10292,chr18,51797729,51813781,POLI,13,+
circ_10293,chr18,51800295,51804223,POLI,3,+
circ_10294,chr18,51800295,51804225,POLI,13,+
circ_10295,chr18,51800295,51810383,POLI,2,+
circ_10296,chr18,51800295,51813781,POLI,5,+
circ_10297,chr18,51804072,51813781,POLI,255,+
circ_10298,chr18,51807036,51813781,POLI,63,+
circ_10299,chr18,52544797,52551667,RAB27B,145,+
circ_103,chr1,109878861,109884780,SORT1,2,-
circ_1030,chr1,211952259,211956844,LPGAT1,13,-
circ_10300,chr18,52544797,52555349,RAB27B,6,+
circ_10301,chr18,54291518,54293688,TXNL1,19,-
circ_10302,chr18,54385194,54398828,WDR7,9,+
circ_10303,chr18,54385194,54426184,WDR7,4,+
circ_10304,chr18,54398613,54426184,WDR7,28,+
circ_10305,chr18,54423813,54426184,WDR7,450,+
circ_10306,chr18,54426095,54448887,WDR7,124,+
circ_10307,chr18,54483261,54547396,WDR7,7,+
circ_10308,chr18,54547174,54547396,WDR7,14,+
circ_10309,chr18,54591152,54606624,WDR7,68,+
circ_1031,chr1,211952259,211961069,LPGAT1,101,-
circ_10310,chr18,55238623,55247431,FECH,8,-
circ_10311,chr18,55273088,55283207,NARS,2,-
circ_10312,chr18,55278868,55283207,NARS,246,-
circ_10313,chr18,55280833,55283207,NARS,8,-
circ_10314,chr18,55398645,55399255,LOC100505549,191,+
circ_10315,chr18,55398645,55401328,LOC100505549,5,+
circ_10316,chr18,56246045,56247780,ALPK2,3,-
circ_10317,chr18,56327094,56327802,,14,+
circ_10318,chr18,56363597,56367823,MALT1,700,+
circ_10319,chr18,56376609,56402561,MALT1,23,+
circ_1032,chr1,211952259,211966532,LPGAT1,653,-
circ_10320,chr18,56400628,56402561,MALT1,4,+
circ_10321,chr18,56400628,56409246,MALT1,2,+
circ_10322,chr18,56585502,56587865,ZNF532,11,+
circ_10323,chr18,56601664,56606853,ZNF532,3,+
circ_10324,chr18,59244260,59259856,,2,-
circ_10325,chr18,59737622,59763183,PIGN,12,-
circ_10326,chr18,59739905,59763183,PIGN,860,-
circ_10327,chr18,59790739,59815571,PIGN,12,-
circ_10328,chr18,59805475,59815571,PIGN,22,-
circ_10329,chr18,59805475,59830889,PIGN,9,-
circ_1033,chr1,211956570,211966532,LPGAT1,71,-
circ_10330,chr18,59821777,59830889,PIGN,11,-
circ_10331,chr18,59824361,59825041,PIGN,4,-
circ_10332,chr18,59878385,59899660,KIAA1468,38,+
circ_10333,chr18,59888269,59895831,KIAA1468,2,+
circ_10334,chr18,59888269,59899660,KIAA1468,118,+
circ_10335,chr18,59911996,59928891,KIAA1468,3,+
circ_10336,chr18,59919896,59942706,KIAA1468,2,+
circ_10337,chr18,59949494,59954700,KIAA1468,251,+
circ_10338,chr18,59954583,59972834,KIAA1468,4,+
circ_10339,chr18,60015400,60017170,TNFRSF11A,109,+
circ_1034,chr1,211960973,211966532,LPGAT1,27,-
circ_10340,chr18,60206913,60212106,ZCCHC2,2,+
circ_10341,chr18,60206913,60217693,ZCCHC2,959,+
circ_10342,chr18,60206913,60232329,ZCCHC2,2,+
circ_10343,chr18,60206913,60242783,ZCCHC2,19,+
circ_10344,chr18,60206913,60243885,ZCCHC2,33,+
circ_10345,chr18,60223435,60232329,ZCCHC2,82,+
circ_10346,chr18,60948119,60948447,BCL2,122,-
circ_10347,chr18,61018120,61030101,KDSR,3,-
circ_10348,chr18,61066474,61067936,VPS4B,2,-
circ_10349,chr18,61067280,61067936,VPS4B,63,-
circ_1035,chr1,21205815,21212864,EIF4G3,12,-
circ_10350,chr18,61645532,61652479,SERPINB8,3,+
circ_10351,chr18,6237962,6244587,L3MBTL4,5,-
circ_10352,chr18,6301901,6312055,L3MBTL4,60,-
circ_10353,chr18,662145,669173,TYMS,6,+
circ_10354,chr18,66364462,66365268,TMX3,6,-
circ_10355,chr18,66541905,66564919,CCDC102B,2,+
circ_10356,chr18,66564455,66564919,CCDC102B,52,+
circ_10357,chr18,670691,671451,TYMS,3,+
circ_10358,chr18,67448585,67499975,,24,-
circ_10359,chr18,67484269,67499975,,26,-
circ_1036,chr1,212179980,212194554,INTS7,16,-
circ_10360,chr18,67484269,67509631,,16,-
circ_10361,chr18,67498288,67499975,,37,-
circ_10362,chr18,67498288,67503754,,18,-
circ_10363,chr18,67498288,67509631,,28,-
circ_10364,chr18,67534592,67535352,CD226,3,-
circ_10365,chr18,67534592,67563281,CD226,2,-
circ_10366,chr18,67540379,67563281,CD226,77,-
circ_10367,chr18,67540379,67577838,CD226,5,-
circ_10368,chr18,67540379,67614768,CD226,61,-
circ_10369,chr18,67562936,67563277,CD226,3,-
circ_1037,chr1,212190227,212194554,INTS7,8,-
circ_10370,chr18,67562936,67563281,CD226,158,-
circ_10371,chr18,67562936,67577838,CD226,2,-
circ_10372,chr18,67562936,67614669,CD226,39,-
circ_10373,chr18,67562936,67614768,CD226,62,-
circ_10374,chr18,67577532,67614669,CD226,3,-
circ_10375,chr18,67602967,67614669,CD226,42,-
circ_10376,chr18,67602967,67614768,CD226,64,-
circ_10377,chr18,67613969,67614669,CD226,20,-
circ_10378,chr18,67613969,67614768,CD226,46,-
circ_10379,chr18,67614238,67624031,CD226,25,-
circ_1038,chr1,212193463,212194554,INTS7,18,-
circ_10380,chr18,67684642,67698217,RTTN,2,-
circ_10381,chr18,67715206,67733158,RTTN,2,-
circ_10382,chr18,67788791,67795782,RTTN,46,-
circ_10383,chr18,67788791,67809623,RTTN,2,-
circ_10384,chr18,67794737,67795782,RTTN,8,-
circ_10385,chr18,697239,706578,ENOSF1,6,-
circ_10386,chr18,72342922,72353078,ZNF407,7,+
circ_10387,chr18,72589152,72601994,ZNF407,23,+
circ_10388,chr18,72997402,73000603,TSHZ1,40,+
circ_10389,chr18,732833,743415,YES1,3,-
circ_1039,chr1,21220009,21221994,EIF4G3,2,-
circ_10390,chr18,74023330,74030669,,2,-
circ_10391,chr18,74082482,74092259,ZNF516,5,-
circ_10392,chr18,74082482,74155167,ZNF516,11,-
circ_10393,chr18,74083421,74092259,ZNF516,9,-
circ_10394,chr18,74090809,74092259,ZNF516,7,-
circ_10395,chr18,74153200,74155167,ZNF516,365,-
circ_10396,chr18,74153200,74159463,ZNF516,3,-
circ_10397,chr18,74153200,74175097,ZNF516,4,-
circ_10398,chr18,742917,743415,YES1,3,-
circ_10399,chr18,74542631,74563895,ZNF236,6,+
circ_104,chr1,109878861,109888500,SORT1,9,-
circ_1040,chr1,21220009,21231464,EIF4G3,3,-
circ_10400,chr18,74561481,74563895,ZNF236,991,+
circ_10401,chr18,74561481,74580819,ZNF236,27,+
circ_10402,chr18,74561481,74583781,ZNF236,59,+
circ_10403,chr18,74561481,74587620,ZNF236,5,+
circ_10404,chr18,74561481,74593468,ZNF236,87,+
circ_10405,chr18,74580640,74593468,ZNF236,2,+
circ_10406,chr18,74587447,74593468,ZNF236,2,+
circ_10407,chr18,74631731,74632014,ZNF236,4,+
circ_10408,chr18,74638992,74672811,ZNF236,2,+
circ_10409,chr18,74711708,74713546,MBP,14,-
circ_1041,chr1,21220009,21268823,EIF4G3,4,-
circ_10410,chr18,74728787,74817242,MBP,6,-
circ_10411,chr18,74778253,74817242,MBP,98,-
circ_10412,chr18,74778253,74840432,MBP,2,-
circ_10413,chr18,74789240,74792749,MBP,12,-
circ_10414,chr18,74807323,74809430,MBP,5,-
circ_10415,chr18,74807323,74817242,MBP,37,-
circ_10416,chr18,756556,756835,YES1,155,-
circ_10417,chr18,76856475,76873354,ATP9B,2,+
circ_10418,chr18,76856475,76886375,ATP9B,255,+
circ_10419,chr18,76856475,76914555,ATP9B,401,+
circ_1042,chr1,212216334,212220759,DTL,3,+
circ_10420,chr18,76856475,76936907,ATP9B,65,+
circ_10421,chr18,76870354,76886375,ATP9B,8,+
circ_10422,chr18,76886266,76914555,ATP9B,284,+
circ_10423,chr18,76886266,76936907,ATP9B,69,+
circ_10424,chr18,76886266,76953263,ATP9B,63,+
circ_10425,chr18,76886266,76967012,ATP9B,76,+
circ_10426,chr18,76886266,76974038,ATP9B,110,+
circ_10427,chr18,76936812,76974038,ATP9B,7,+
circ_10428,chr18,76936812,76977161,ATP9B,2,+
circ_10429,chr18,76953182,76974038,ATP9B,225,+
circ_1043,chr1,212218001,212220759,DTL,317,+
circ_10430,chr18,77037053,77067234,ATP9B,11,+
circ_10431,chr18,77063603,77067234,ATP9B,5,+
circ_10432,chr18,77096627,77119462,ATP9B,2,+
circ_10433,chr18,77170402,77171501,NFATC1,4,+
circ_10434,chr18,77193578,77211816,NFATC1,18,+
circ_10435,chr18,77193578,77227582,NFATC1,2,+
circ_10436,chr18,77208781,77211816,NFATC1,34,+
circ_10437,chr18,77455224,77457988,CTDP1,65,+
circ_10438,chr18,77455224,77464917,CTDP1,152,+
circ_10439,chr18,77470345,77478016,CTDP1,13,+
circ_1044,chr1,21231375,21268823,EIF4G3,215,-
circ_10440,chr18,77470345,77489069,CTDP1,3,+
circ_10441,chr18,77470345,77496521,CTDP1,5,+
circ_10442,chr18,77488906,77496521,CTDP1,698,+
circ_10443,chr18,77668145,77668309,PQLC1,2,-
circ_10444,chr18,77693968,77695767,PQLC1,2,-
circ_10445,chr18,77733521,77737701,TXNL4A,13,-
circ_10446,chr18,77736717,77737701,TXNL4A,9,-
circ_10447,chr18,8113483,8143777,PTPRM,9,+
circ_10448,chr18,8624935,8638414,RAB12,9,+
circ_10449,chr18,9182379,9195696,ANKRD12,284,+
